level3CategoryId,level2CategoryId,level1CategoryId,categoryName
49350,27600,931,Quần yếm
4556,27548,915,Quần lót nam
4557,27548,915,Bộ đồ lót nam
5409,27562,915,Quần jogger nam
4555,27570,915,Đồ mặc nhà nam - Bộ ngắn
8343,27550,27498,Khăn - Găng tay nam
18346,18328,8322,Hộp quà - Túi quà
18332,18328,8322,Mô hình trang trí
15118,975,27498,Cài Áo
49552,27604,1703,Giày thể thao cổ thấp
49554,27604,1703,Giày thể thao cổ cao
27604,27604,1703,Giày thể thao nữ
49620,27572,1686,Giày thể thao nam cổ thấp
24218,6827,1975,Giày chạy bộ nữ
49548,8355,1703,Giày cao gót hở mũi
49588,4551,1703,Giày lười mũi nhọn
5350,8060,1846,Case Ổ Cứng- Hộp Đựng HDD Box - Dock Ổ Cứng
11605,1582,1520,Tẩy trang
24268,24258,1975,Phụ kiện leo núi khác
54672,54412,44792,"Rượu whisky, rượu mạnh"
49556,4550,1703,Giày sandals đế bằng
49634,5341,1686,Giày sandals nam quai ngang
49566,1192,1703,Giày búp bê mũi tròn
18342,18328,8322,Phụ kiện - Vật liệu trang trí
49578,984,1703,Dép quai ngang
49558,4550,1703,Giày sandals chiến binh
8728,1884,1882,Đồ dùng nhà bếp khác
1948,5250,2549,"Lắp ghép, Xếp hình"
23304,1954,1883,"Bình, ly uống cà phê và phụ kiện"
20266,1818,1801,Lens Hood
30964,6826,1975,Giày thể thao nam khác
24174,6826,1975,Giày chạy bộ nam
49622,27572,1686,Giày thể thao nam cổ cao
49632,1581,1686,Giày tây nam không dây
49594,8357,1703,Phụ kiện cho giày
8512,1778,8371,Đồng hồ business nam
8513,1778,8371,Đồng hồ thể thao nam
8511,1778,8371,"Đồng hồ thời trang, casual nam"
7449,1778,8371,Đồng hồ lộ máy
54304,54302,44792,"Rau xanh, rau tươi"
1910,7741,8322,Flashcards
3177,1954,1883,"Ly, cốc & phụ kiện ly"
18330,18328,8322,Quà tặng trang sức
15250,8374,8371,Dây chuyền
15318,8374,8371,Vòng tay
5400,975,27498,Phụ kiện cưới
5995,2223,1883,"Áo mưa, ô dù và phụ kiện đi mưa"
23056,23054,1883,Bộ đồ thờ
23078,23054,1883,"Hương, nhang"
15236,8374,8371,Nhẫn
49638,5342,1686,Dép nam đi trong nhà
49382,49372,931,Đồ lót bầu
49376,49372,931,Áo bầu
24212,6140,1975,Quần áo bóng chuyền nam
4079,28834,1801,"Camera Hành Trình Ô Tô, Xe Máy"
10089,12884,1846,Máy Hủy Tài Liệu
29010,8095,1846,Laptop Truyền Thống
28888,8074,4221,"Phụ kiện, linh kiện máy nước nóng"
54504,54500,44792,"Khăn giấy, giấy vệ sinh"
10418,10418,2549,Dinh dưỡng cho người lớn
21392,21382,17166,Đầu đọc thẻ nhớ
21440,21382,17166,Thiết bị số - Khác
28892,8074,4221,"Phụ kiện, linh kiện điện lạnh khác"
3865,3865,4221,Máy lạnh - Máy điều hòa
11968,8129,1846,Linh Kiện Máy Tính Khác
28836,28834,1801,Phụ Kiện Camera Hành Trình
4879,28834,1801,Action Camera
8054,1818,1801,"Phụ Kiện Máy Ảnh, Máy Quay Khác"
28768,1818,1801,Hộp Chụp Ảnh Sản Phẩm
28762,1818,1801,Nắp Ống Kính
8361,975,27498,Phụ kiện tóc nữ
5387,975,27498,Thắt lưng - Dây nịt nữ và phụ kiện
5403,975,27498,Khăn - Tất - Vớ nữ
5401,975,27498,Nón nữ
8225,5873,1520,Đèn xông
24170,24128,1975,Dụng cụ tập thể thao khác
24304,24294,1975,Dụng cụ câu cá khác
27598,936,931,Áo thun - Áo khoác nỉ nữ
933,1698,931,Áo thun nữ
27588,936,931,"Áo vest, blazer nữ"
49512,10382,915,Áo hoodies nam vải nỉ
27554,4546,915,Áo len dệt kim
24240,6141,1975,Quần thể thao nữ
24238,6141,1975,Áo thể thao nữ
49362,1702,931,Áo liền quần
1716,27600,931,Quần legging - tregging nữ
24198,6140,1975,Quần thể thao nam
939,27600,931,Quần shorts nữ
1701,27600,931,Quần jean nữ
879,316,8322,Sách Khoa Học - Kỹ Thuật
11939,2306,1520,Sản phẩm định hình
2340,2307,1520,Máy massage toàn thân
10809,10803,1975,Bổ sung vitamin
24182,6826,1975,Giày tennis nam
13384,11332,11312,Khóa học ngoại ngữ
49608,4559,976,Túi tote có khóa
49610,4559,976,Túi tote không khóa
49596,4558,976,Túi đeo chéo công sở
27610,27608,6000,Balo dây rút
49598,4558,976,Túi đeo chéo dạo phố
23446,2223,1883,Dụng cụ ngoài trời khác
3178,1954,1883,"Tô, chén, dĩa"
