level3CategoryId,level2CategoryId,level1CategoryId,categoryName
2328,2328,4221,Tủ lạnh
54346,54344,44792,"Thịt, hải sản đông lạnh"
49526,49524,915,Áo nam kích cỡ lớn
49512,10382,915,Áo hoodies nam vải nỉ
27598,936,931,Áo thun - Áo khoác nỉ nữ
49458,925,915,Áo khoác gió
49460,925,915,Áo khoác nỉ
27554,4546,915,Áo len dệt kim
49514,10382,915,Áo hoodies nam vải cotton
27584,941,931,Đầm suông
2018,2015,1883,Đèn pin
10523,5250,2549,Đồ chơi thủ công
2016,2015,1883,Đèn bàn
3242,8428,1975,Đèn pin đội đầu
6522,27608,6000,Balo nữ
5674,7741,8322,Balo Học Sinh - Cặp học sinh
8351,27608,6000,Balo nam
6523,8387,6000,"Balo du lịch, phượt"
49354,936,931,Áo khoác chống nắng nữ
49356,936,931,Áo khoác phao nữ
49352,936,931,Áo khoác jeans nữ
27594,936,931,Áo cardigan nữ
27588,936,931,"Áo vest, blazer nữ"
27596,936,931,Áo khoác dạ nữ
49360,936,931,Áo khoác bomber jackets
49358,936,931,Áo khoác da nữ
936,936,931,Áo khoác nữ
24196,6140,1975,Áo thể thao nam
49362,1702,931,Áo liền quần
24170,24128,1975,Dụng cụ tập thể thao khác
24138,24128,1975,Xà đơn
24240,6141,1975,Quần thể thao nữ
8172,2307,1520,Thiết bị khác
24318,24306,1975,Phụ kiện thể thao khác
24182,6826,1975,Giày tennis nam
2342,2307,1520,Thiết Bị Y Tế
12218,24306,1975,"Băng cổ tay, băng trán thể thao"
10419,8339,2549,Sữa công thức pha sẵn
24198,6140,1975,Quần thể thao nam
24200,6140,1975,Quần áo đá banh nam
935,1698,931,Áo kiểu
24204,6140,1975,Quần áo golf nam
1685,917,915,Áo thun nam ngắn tay không cổ
24238,6141,1975,Áo thể thao nữ
4555,27570,915,Đồ mặc nhà nam - Bộ ngắn
933,1698,931,Áo thun nữ
24202,6140,1975,Quần áo cầu lông nam
20220,8214,1815,Giá Đỡ - Chân Đế - Móc Dán
1819,8214,1815,Phụ Kiện Di Động Khác
7079,26568,4221,"Receivers, Amplifier, Mixer"
21404,21382,17166,Hub USB
5192,11603,2549,Phụ kiện cho bé
8390,6526,6000,Phụ kiện vali
49464,925,915,Áo khoác bomber nam
10378,917,915,Áo thun nam ba lỗ
27552,925,915,Áo cardigan nam
10691,8214,1815,SIM Điện Thoại
54358,54344,44792,"Sandwich, mì, cơm ăn liền"
28784,1840,1801,Túi và Hộp Đựng Máy Ảnh
20236,8214,1815,Túi Bảo Vệ - Túi Chống Nước
54376,54362,44792,"Giấm, rượu nấu ăn"
49554,27604,1703,Giày thể thao cổ cao
49552,27604,1703,Giày thể thao cổ thấp
49620,27572,1686,Giày thể thao nam cổ thấp
49548,8355,1703,Giày cao gót hở mũi
49622,27572,1686,Giày thể thao nam cổ cao
49576,984,1703,Dép xỏ ngón
5995,2223,1883,"Áo mưa, ô dù và phụ kiện đi mưa"
49594,8357,1703,Phụ kiện cho giày
49632,1581,1686,Giày tây nam không dây
24174,6826,1975,Giày chạy bộ nam
10385,1702,931,Áo dài
49364,1702,931,Bộ trang phục
