,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,video_url,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id
0,13895815,1802590305164,Camera hành động Waterproof Sports Cam Chống Nước Full HD 1080 Trải Nghiệm Hoàn Toàn Mới,camera-hanh-dong-waterproof-sports-cam-chong-nuoc-full-hd-1080-trai-nghiem-hoan-toan-moi-p13895815,camera-hanh-dong-waterproof-sports-cam-chong-nuoc-full-hd-1080-trai-nghiem-hoan-toan-moi-p13895815.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.162961331&itm_medium=CPC&itm_source=tiki-reco&spid=162961331,,,,OEM,,390000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 10 ASA (2k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/d9/c3/bc/d1387f73d7a14f939a1f04edb04521cb.jpg,280,280,[],False,,False,3095,,,False,False,,,[],,,162961331,,,False,"{'text': 'Đã bán 1', 'value': 1}",,,390000,True,"[{'impression_id': 'thanos-product-Kp48z9zkRszjbyt7', 'metadata': {'price': 390000, 'rating_average': 5, 'reviews_count': 1, 'seller_product_id': 162961331}, 'checksum': ''}, {'impression_id': 'e6054b60-5f85-4555-9450-74477ab4aee1', 'metadata': {'product_id': 3095, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1801/28834/4879,0,265319
1,38284834,8281463406839,Camera Hành Động Chống Nước WIFI 4K Ultra HD - Hàng Nhập Khẩu ( Tặng Thẻ Nhớ 16G ),camera-hanh-dong-chong-nuoc-wifi-4k-ultra-hd-hang-nhap-khau-tang-the-nho-16g-p38284834,camera-hanh-dong-chong-nuoc-wifi-4k-ultra-hd-hang-nhap-khau-tang-the-nho-16g-p38284834.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.167032617&itm_medium=CPC&itm_source=tiki-reco&spid=167032617,,,,HOÀNG LONG,,590000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 15 ASA (3k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/b4/56/bb/e567f75ad63f2ffa2d20afceb15a6535.jpg,280,280,[],False,,False,3095,,,False,False,,,[],,,167032617,,,False,,,,590000,True,"[{'impression_id': 'thanos-product-fuFyLJggtmZ0dIEU', 'metadata': {'price': 590000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 167032617}, 'checksum': ''}, {'impression_id': '4df7d000-3b53-411c-8bf9-54fb3c5bcac5', 'metadata': {'product_id': 3095, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1801/28834/4879,0,265319
2,14966475,6842527506719,Máy Quay DJI OSMO Pocket - Hàng Chính hãng,may-quay-dji-osmo-pocket-hang-chinh-hang-fpt-p14966475,may-quay-dji-osmo-pocket-hang-chinh-hang-fpt-p14966475.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.36869165&itm_medium=CPC&itm_source=tiki-reco&spid=36869165,,,,DJI,,5990000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 150 ASA (32k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.8,4,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/9f/88/f8/6ccff1f06b3d00093e97ea6b6515936e.jpg,280,280,[],False,,False,3095,,,False,False,,,[],,,36869165,,,False,"{'text': 'Đã bán 10', 'value': 10}",,,5990000,True,"[{'impression_id': 'thanos-product-UmsjwPnBueI5rxPc', 'metadata': {'price': 5990000, 'rating_average': 4.8, 'reviews_count': 4, 'seller_product_id': 36869165}, 'checksum': ''}, {'impression_id': '160aae16-4e2b-443e-88b0-bd34fa62864d', 'metadata': {'product_id': 3095, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1801/28834/4879,0,82663
3,197544285,4409555646849,Máy quay phim hành trình Insta360 X3 (Standard Edition) – Hàng chính hãng,may-quay-phim-hanh-trinh-insta360-x3-standard-edition-hang-chinh-hang-p197544285,may-quay-phim-hanh-trinh-insta360-x3-standard-edition-hang-chinh-hang-p197544285.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.197544289&itm_medium=CPC&itm_source=tiki-reco&spid=197544289,,,,Insta360,,11560000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 289 ASA (63k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/c7/e3/2d/a03dcafa507bf1b5569b8cf1a8a827f8.png,280,280,[],False,,False,3095,,,False,False,,,[],,,197544289,,,False,"{'text': 'Đã bán 4', 'value': 4}",,,11560000,True,"[{'impression_id': 'thanos-product-g1F46KcOUqW3OPOs', 'metadata': {'price': 11560000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 197544289}, 'checksum': ''}, {'impression_id': '76ee6c6b-a8d5-436c-ba9b-ed5dfc2f4eee', 'metadata': {'product_id': 3095, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1801/28834/4879,0,141495
4,199043132,3214485490854,Gopro Hero 11 - Hàng Chính Hãng,gopro-hero-11-hang-chinh-hang-p199043132,gopro-hero-11-hang-chinh-hang-p199043132.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.199043136&itm_medium=CPC&itm_source=tiki-reco&spid=199043136,,,,GOPRO,,11290000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'installment', 'placement': 'under_rating', 'text': 'Trả góp', 'type': 'under_rating_text'}, {'code': 'freegift_items', 'placement': 'under_rating', 'text': 'Quà tặng', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 282 ASA (61k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",3700000,25,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/fc/c5/d2/cc8a1747608f41e21a0887be904d7028.jpg,280,280,[],False,,False,3095,,,False,False,,,[],,,199043136,,,False,"{'text': 'Đã bán 1', 'value': 1}",https://salt.tikicdn.com/ts/video/19/14/4f/f3a930052adeb915ffdcf338077aa42f.mp4,,14990000,True,"[{'impression_id': 'thanos-product-ROXT7sEilVqCknFO', 'metadata': {'price': 11290000, 'rating_average': 5, 'reviews_count': 1, 'seller_product_id': 199043136}, 'checksum': ''}, {'impression_id': '53791852-ffc5-4cc9-b240-455ffc036585', 'metadata': {'product_id': 3095, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1801/28834/4879,0,6704
5,19774958,1181123159802,DJI Osmo Pocket - Hàng Chính hãng + Thẻ nhớ 64Gb quay 4K,dji-osmo-pocket-hang-chinh-hang-the-nho-64gb-quay-4k-p19774958,dji-osmo-pocket-hang-chinh-hang-the-nho-64gb-quay-4k-p19774958.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.36869166&itm_medium=CPC&itm_source=tiki-reco&spid=36869166,,,,DJI,,6390000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 160 ASA (35k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/52/03/3e/3f1a6b0b7255ecac458e5feb5e12fcf6.jpg,280,280,[],False,,False,3095,,,False,False,,,[],,,36869166,,,False,,,,6390000,True,"[{'impression_id': 'thanos-product-4jn3I0fFlRq5SWdX', 'metadata': {'price': 6390000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 36869166}, 'checksum': ''}, {'impression_id': '1ded8001-c708-463d-9a22-567ed121dd72', 'metadata': {'product_id': 3095, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1801/28834/4879,0,82663
6,16829272,2843495893768,MÁY QUAY HÀNH ĐỘNG DJI OSMO ACTION 4K CAMERA - HÀNG NHẬP KHẨU,may-quay-hanh-dong-dji-osmo-action-4k-camera-hang-nhap-khau-p16829272,may-quay-hanh-dong-dji-osmo-action-4k-camera-hang-nhap-khau-p16829272.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.25637151&itm_medium=CPC&itm_source=tiki-reco&spid=25637151,,,,DJI,,8990000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 225 ASA (49k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/a6/d9/bc/d32ee3438754e7878fd58a14a1766b82.jpg,280,280,[],False,,False,3095,,,False,False,,,[],,,25637151,,,False,,,,8990000,True,"[{'impression_id': 'thanos-product-t9hMlonXycHqrENn', 'metadata': {'price': 8990000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 25637151}, 'checksum': ''}, {'impression_id': '42c1930b-bf1a-45dc-a7f4-75512a448cea', 'metadata': {'product_id': 3095, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1801/28834/4879,0,21666
7,51733928,4203555265672,"Camera Hành Trình, Hành Động Thể Thao SJCAM SJ4000 AIR 4K WIFI",camera-hanh-trinh-hanh-dong-the-thao-sjcam-sj4000-air-4k-wifi-p51733928,camera-hanh-trinh-hanh-dong-the-thao-sjcam-sj4000-air-4k-wifi-p51733928.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.55121675&itm_medium=CPC&itm_source=tiki-reco&spid=55121675,,,,SJCAM,,1086000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 205 ASA (44k ₫)<br/>≈ 4.1% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",32000,3,4.5,8,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/8e/b2/0c/602c9cc2a090e140edeedafbe8994420.jpg,280,280,[],False,,False,3095,,,False,False,,,[],,,55121675,,,False,"{'text': 'Đã bán 30', 'value': 30}",,,1118000,True,"[{'impression_id': 'thanos-product-BMfV36H3cS6LldSt', 'metadata': {'price': 1086000, 'rating_average': 4.5, 'reviews_count': 8, 'seller_product_id': 55121675}, 'checksum': ''}, {'impression_id': '72dc5e76-6bb1-476f-80dd-e763a314f661', 'metadata': {'product_id': 3095, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1801/28834/4879,0,16996
8,186577136,3440715356197,Camera Hành Trình Siêu Nhỏ SJCAM C100+ ( c100 plus ) - Hàng Nhập Khẩu,camera-hanh-trinh-sieu-nho-sjcam-c100-c100-plus-hang-nhap-khau-p186577136,camera-hanh-trinh-sieu-nho-sjcam-c100-c100-plus-hang-nhap-khau-p186577136.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.186577137&itm_medium=CPC&itm_source=tiki-reco&spid=186577137,,,,SJCAM,,1449000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 245 ASA (53k ₫)<br/>≈ 3.7% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",104000,7,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/6b/1a/12/fb68127c6680fb72b4d967ee33a3628f.jpg,280,280,[],False,,False,3095,,,False,False,,,[],,,186577137,,,False,"{'text': 'Đã bán 4', 'value': 4}",,,1553000,True,"[{'impression_id': 'thanos-product-WyJIjvjNp7VpzGRC', 'metadata': {'price': 1449000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 186577137}, 'checksum': ''}, {'impression_id': 'ceb64241-695e-448e-b2fc-7f43a3289e34', 'metadata': {'product_id': 3095, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1801/28834/4879,0,16996
9,215162245,8450998579344,"Camera mini wifi bật lửa K9 kết nối với điện thoại từ xa bất cứ đâu, pin khoảng 2-3 giờ, không dây",camera-mini-wifi-bat-lua-k9-ket-noi-voi-dien-thoai-tu-xa-bat-cu-dau-pin-khoang-2-3-gio-khong-day-p215162245,camera-mini-wifi-bat-lua-k9-ket-noi-voi-dien-thoai-tu-xa-bat-cu-dau-pin-khoang-2-3-gio-khong-day-p215162245.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.215162247&itm_medium=CPC&itm_source=tiki-reco&spid=215162247,,,,OEM,,800000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 20 ASA (4k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/b9/79/7a/f79b085ac6e08ff0355620c5c816e582.jpg,280,280,[],False,,False,3095,,,False,False,,,[],,,215162247,,,False,"{'text': 'Đã bán 1', 'value': 1}",,,800000,True,"[{'impression_id': 'thanos-product-o7W9QAM947aYXhHl', 'metadata': {'price': 800000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 215162247}, 'checksum': ''}, {'impression_id': 'd5c6a75f-e2f9-4d73-a0e3-1be9ed61188a', 'metadata': {'product_id': 3095, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1801/28834/4879,0,188895
