,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,video_url,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id
0,213681699,3249607525561,"Áo HOODIE Nam 5S SAFARI, Chất Liệu Supima Cotton Siêu Dày Dặn, Âm, Co Giãn, Thiết Kế In Năng Động, Trẻ Trung (ANO22020)",ao-hoodie-nam-5s-safari-chat-lieu-supima-cotton-sieu-day-dan-am-co-gian-thiet-ke-in-nang-dong-tre-trung-ano22020-p213681699,ao-hoodie-nam-5s-safari-chat-lieu-supima-cotton-sieu-day-dan-am-co-gian-thiet-ke-in-nang-dong-tre-trung-ano22020-p213681699.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.213681707&itm_medium=CPC&itm_source=tiki-reco&spid=213681707,,,,5S,,639000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 16 ASA (3k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,9,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/f2/ee/92/86eed9fb2b8d4f84bd2ef1d34acef214.jpg,280,280,[],False,,False,1613,,,False,False,,,[],,,213681707,,,False,"{'text': 'Đã bán 21', 'value': 21}",,,639000,True,"[{'impression_id': 'thanos-product-AyCdFRAPipPaAglg', 'metadata': {'price': 639000, 'rating_average': 5, 'reviews_count': 9, 'seller_product_id': 213681707}, 'checksum': ''}, {'impression_id': '227325bd-919d-4ea9-87d0-b36939111f28', 'metadata': {'product_id': 1613, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/915/10382/49514,0,25955
1,173126008,5275263910665,Áo hoodie Blackpink,ao-hoodie-blackpink-p173126008,ao-hoodie-blackpink-p173126008.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.173126016&itm_medium=CPC&itm_source=tiki-reco&spid=173126016,,,,OEM,,129000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, ngày 23/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (699 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/2c/a9/49/b3589195a6f9db05607cc28680cdcda5.jpg,280,280,[],False,,False,1613,,,False,False,,,[],,,173126016,,,False,"{'text': 'Đã bán 2', 'value': 2}",,,129000,True,"[{'impression_id': 'thanos-product-3OGh4SC4Lyu9l0Dj', 'metadata': {'price': 129000, 'rating_average': 5, 'reviews_count': 1, 'seller_product_id': 173126016}, 'checksum': ''}, {'impression_id': '96e5840d-cf3e-4e9a-9d66-95c34b5c7b1e', 'metadata': {'product_id': 1613, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/915/10382/49514,0,179961
2,214935590,5509429282504,Áo Hoodie Real Madrid,ao-hoodie-real-madrid-p214935590,ao-hoodie-real-madrid-p214935590.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.214935618&itm_medium=CPC&itm_source=tiki-reco&spid=214935618,,,,OEM,,72090,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, ngày 23/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (391 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/8e/a7/76/6021e4bb8b09d17c6202179b295e7ba8.jpg,280,280,[],False,,False,1613,,,False,False,,,[],,,214935618,,,False,"{'text': 'Đã bán 2', 'value': 2}",,,72090,True,"[{'impression_id': 'thanos-product-n4ZPhl7Is4p9HI3m', 'metadata': {'price': 72090, 'rating_average': 4, 'reviews_count': 1, 'seller_product_id': 214935618}, 'checksum': ''}, {'impression_id': '9361e3f8-96ed-4a20-9226-a673741fd5c0', 'metadata': {'product_id': 1613, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/915/10382/49514,0,323951
3,164985137,7907503324421,ÁO KHOÁC HOODIE IN CHỮ BẮT TREND MỚI NHẤT,ao-khoac-hoodie-in-chu-bat-trend-moi-nhat-p164985137,ao-khoac-hoodie-in-chu-bat-trend-moi-nhat-p164985137.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.189673512&itm_medium=CPC&itm_source=tiki-reco&spid=189673512,,,,OEM,,95000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 19 ASA (4k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/4f/03/b4/ef90b0bd1197989f91138428e5b478cd.jpg,280,280,[],False,,False,1613,,,False,False,,,[],,,189673512,,,False,,,,95000,True,"[{'impression_id': 'thanos-product-Snc5KfC9S9SDZ1jh', 'metadata': {'price': 95000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 189673512}, 'checksum': ''}, {'impression_id': 'e7d484a6-bf3f-4ca3-a54a-e8b533dcb0f1', 'metadata': {'product_id': 1613, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/915/10382/49514,0,232000
4,163955883,2121417339204,Hoodie Wright Rapper Eminem oversize streetwear,hoodie-wright-rapper-eminem-oversize-streetwear-p163955883,hoodie-wright-rapper-eminem-oversize-streetwear-p163955883.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.163955917&itm_medium=CPC&itm_source=tiki-reco&spid=163955917,,,,OEM,,869000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 22 ASA (5k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/80/77/e9/2c6a2079c84adc4c4becbff080ff7c6a.jpg,280,280,[],False,,False,1613,,,False,False,,,[],,,163955917,,,False,,,,869000,True,"[{'impression_id': 'thanos-product-T6j8E6tSqihqtxip', 'metadata': {'price': 869000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 163955917}, 'checksum': ''}, {'impression_id': '8cb5681e-cc55-4d96-b8ec-0093f14b9fbd', 'metadata': {'product_id': 1613, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/915/10382/49514,0,159590
5,206406767,3546117787949,ÁO HOODIE ZIP TWENTI TAG MẠC THỜI TRANG,ao-hoodie-zip-twenti-tag-mac-thoi-trang-p206406767,ao-hoodie-zip-twenti-tag-mac-thoi-trang-p206406767.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.206406780&itm_medium=CPC&itm_source=tiki-reco&spid=206406780,,,,OEM,,300000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 8 ASA (2k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/53/ef/53/8a76b2bc8af5228fa07ca67b2d240f5f.jpg,280,280,[],False,,False,1613,,,False,False,,,[],,,206406780,,,False,,,,300000,True,"[{'impression_id': 'thanos-product-CGisIsun4YIOS4Wn', 'metadata': {'price': 300000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 206406780}, 'checksum': ''}, {'impression_id': '27b089d9-ab88-49c8-8f67-5bf501a0a423', 'metadata': {'product_id': 1613, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/915/10382/49514,0,314425
6,173355839,6983050411969,Áo hoodie nam nữ unisex form rộng Hàn Quốc STYLE MARVEN in hình pikachu nổi trẻ trung năng động - AO TOP NAM 90000176,ao-hoodie-nam-nu-unisex-form-rong-han-quoc-style-marven-in-hinh-pikachu-noi-tre-trung-nang-dong-ao-top-nam-90000176-p173355839,ao-hoodie-nam-nu-unisex-form-rong-han-quoc-style-marven-in-hinh-pikachu-noi-tre-trung-nang-dong-ao-top-nam-90000176-p173355839.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.173356812&itm_medium=CPC&itm_source=tiki-reco&spid=173356812,,,,OEM,,83000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (450 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,1.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/f7/4a/fb/5081ee0757e017f342766314bf4cbce8.jpg,280,280,[],False,,False,1613,,,False,False,,,[],,,173356812,,,False,"{'text': 'Đã bán 3', 'value': 3}",,,83000,True,"[{'impression_id': 'thanos-product-dWpnOOGF6NmTNWYm', 'metadata': {'price': 83000, 'rating_average': 1, 'reviews_count': 1, 'seller_product_id': 173356812}, 'checksum': ''}, {'impression_id': 'f8a07df2-655c-4fcf-b535-d533778aab68', 'metadata': {'product_id': 1613, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/915/10382/49514,0,239414
7,206440645,5976113296084,Áo Hoodie Demon Slayer Anime Áo Hoodie form rộng dài tay,ao-hoodie-demon-slayer-anime-ao-hoodie-form-rong-dai-tay-p206440645,ao-hoodie-demon-slayer-anime-ao-hoodie-form-rong-dai-tay-p206440645.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.206440790&itm_medium=CPC&itm_source=tiki-reco&spid=206440790,,,,OEM,,300000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 8 ASA (2k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/88/93/2e/3594216f0556d77b1f5f611ef67e3853.jpg,280,280,[],False,,False,1613,,,False,False,,,[],,,206440790,,,False,,,,300000,True,"[{'impression_id': 'thanos-product-xKm02hV5405cdnf7', 'metadata': {'price': 300000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 206440790}, 'checksum': ''}, {'impression_id': '02ba4ac4-9375-4a2f-87ad-4fe6f78a62d5', 'metadata': {'product_id': 1613, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/915/10382/49514,0,314425
8,54583055,1513139949045,"Áo khoác hooide trơn cá tính, năng động - FORMENSHOP - FM5GV016",ao-khoac-hooide-tron-ca-tinh--nang-dong---formenshop---fm5gv016-p54583055,ao-khoac-hooide-tron-ca-tinh--nang-dong---formenshop---fm5gv016-p54583055.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.54583069&itm_medium=CPC&itm_source=tiki-reco&spid=54583069,,,,ARADO FASHION,,139000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (753 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",60000,30,4.8,18,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ca/9a/9f/5209bbbeb92a073faa3ada91fa18201c.jpg,280,280,[],False,,False,1613,,,False,False,,,[],,,54583069,,,False,"{'text': 'Đã bán 49', 'value': 49}",https://salt.tikicdn.com/ts/video/3e/95/36/e66c48a61d9526d8195b5a6a9d39e3e3.mp4,,199000,True,"[{'impression_id': 'thanos-product-6ueuNEaPNQMmKGSF', 'metadata': {'price': 139000, 'rating_average': 4.8, 'reviews_count': 18, 'seller_product_id': 54583069}, 'checksum': ''}, {'impression_id': 'f02b8bb9-a3a5-4029-b6ce-2d7f8cfdae8a', 'metadata': {'product_id': 1613, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/915/10382/49514,0,17914
9,15660895,7588127750853,Combo mũ áo Blackpink Blink tặng kèm sticker Blackpink,combo-mu-ao-blackpink-blink-tang-kem-sticker-blackpink-p15660895,combo-mu-ao-blackpink-blink-tang-kem-sticker-blackpink-p15660895.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.15660959&itm_medium=CPC&itm_source=tiki-reco&spid=15660959,,,,CHONMUA 365,,208000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 41 ASA (9k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.3,3,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/a3/5b/82/921953897db7300b772b6ce58f59050f.jpg,280,280,[],False,,False,1613,,,False,False,,,[],,,15660959,,,False,"{'text': 'Đã bán 42', 'value': 42}",,,208000,True,"[{'impression_id': 'thanos-product-nQ06kZxfBuosR2xz', 'metadata': {'price': 208000, 'rating_average': 4.3, 'reviews_count': 3, 'seller_product_id': 15660959}, 'checksum': ''}, {'impression_id': '8c3e0f76-ba02-4425-82f8-683167f2f8bd', 'metadata': {'product_id': 1613, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/915/10382/49514,0,19785
