,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,video_url,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id
0,164601384,4244867703475,Decal dán tường bảng chữ cái cho Bé 3032,decal-dan-tuong-bang-chu-cai-cho-be-3032-p164601384,decal-dan-tuong-bang-chu-cai-cho-be-3032-p164601384.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.164601400&itm_medium=CPC&itm_source=tiki-reco&spid=164601400,,,,OEM,,57000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 1 ASA (309 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.8,14,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/32/8a/d3/ec49ca5aa136fd4abf92909369870ba1.jpg,280,280,[],False,,False,4109,,,False,False,,,[],,,164601400,,,False,"{'text': 'Đã bán 53', 'value': 53}",,,57000,True,"[{'impression_id': 'thanos-product-gGatDiINq29fq64S', 'metadata': {'price': 57000, 'rating_average': 4.8, 'reviews_count': 14, 'seller_product_id': 164601400}, 'checksum': ''}, {'impression_id': 'eae4b195-7955-44b3-9cbd-2b64d846b38c', 'metadata': {'product_id': 4109, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1883/1973/3710,0,266442
1,135321411,3880031083949,"Giấy Bạc Tráng Nhôm, dán bếp tăng thẩm mỹ và rất sạch sẽ(2M)",giay-bac-trang-nhom-dan-bep-tang-tham-my-va-rat-sach-se-2m-p135321411,giay-bac-trang-nhom-dan-bep-tang-tham-my-va-rat-sach-se-2m-p135321411.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.204961389&itm_medium=CPC&itm_source=tiki-reco&spid=204961389,,,,OEM,,17000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (721 ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",2400,12,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/17/ff/3a/7e7030876dba2a4f94bc51af760e6e04.jpg,280,280,[],False,,False,4109,,,False,False,,,[],,,204961389,,,False,"{'text': 'Đã bán 17', 'value': 17}",,,19400,True,"[{'impression_id': 'thanos-product-jplQxmEvhK66pjRe', 'metadata': {'price': 17000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 204961389}, 'checksum': ''}, {'impression_id': '1e592aa0-23a4-4cc5-acd5-82dbcff3bd27', 'metadata': {'product_id': 4109, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1883/1973/3710,0,131238
2,45839454,1586040586890,10m Decal dán tường - Giấy dán tường 3D có sẵn keo chống nước khổ rộng 0.45m GDT_BTS7,10m-decal-dan-tuong-giay-dan-tuong-3d-co-san-keo-chong-nuoc-kho-rong-0-45m-gdt_bts7-p45839454,10m-decal-dan-tuong-giay-dan-tuong-3d-co-san-keo-chong-nuoc-kho-rong-0-45m-gdt_bts7-p45839454.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.203448606&itm_medium=CPC&itm_source=tiki-reco&spid=203448606,,,,OEM,,85000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (460 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,5,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/19/1b/69/f4c07a692517ef25b7d595bc0a222f0c.jpg,280,280,[],False,,False,4109,,,False,False,,,[],,,203448606,,,False,"{'text': 'Đã bán 51', 'value': 51}",,,85000,True,"[{'impression_id': 'thanos-product-PZ88sZcjJjI0pj0k', 'metadata': {'price': 85000, 'rating_average': 5, 'reviews_count': 5, 'seller_product_id': 203448606}, 'checksum': ''}, {'impression_id': 'cee51c45-c869-4a07-8e90-e9be4e13c385', 'metadata': {'product_id': 4109, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1883/1973/3710,0,256755
3,34527170,5805341127442,"Giấy bạc dán tường nhà bếp chống thấm dầu, thấm nước tiện dụng 3mx60cm",giay-bac-dan-tuong-nha-bep-chong-tham-dau-tham-nuoc-tien-dung-3mx60cm-p34527170,giay-bac-dan-tuong-nha-bep-chong-tham-dau-tham-nuoc-tien-dung-3mx60cm-p34527170.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.91464885&itm_medium=CPC&itm_source=tiki-reco&spid=91464885,,,,OEM,,69000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (374 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/11/84/32/5e5918d500883d89f63e6b737ccc7d9b.jpg,280,280,[],False,,False,4109,,,False,False,,,[],,,91464885,,,False,"{'text': 'Đã bán 4', 'value': 4}",,,69000,True,"[{'impression_id': 'thanos-product-txB45mTxqUksrzHp', 'metadata': {'price': 69000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 91464885}, 'checksum': ''}, {'impression_id': '14a6a84a-68e0-4deb-8dee-0287712ecf54', 'metadata': {'product_id': 4109, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1883/1973/3710,0,15089
4,2226243,1286246267165,Decal dán tường từ tiếng anh về loài vật cho bé ZOOYOO SK9084-kiddecals,decal-dan-tuong-tu-tieng-anh-ve-loai-vat-cho-be-zooyoo-sk9084-kiddecals-p2226243,decal-dan-tuong-tu-tieng-anh-ve-loai-vat-cho-be-zooyoo-sk9084-kiddecals-p2226243.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.2226245&itm_medium=CPC&itm_source=tiki-reco&spid=2226245,,,,ZOOYOO,,49000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 1 ASA (265 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",31000,39,4.7,137,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/a1/f0/b7/7d5fe0eea8d492ea09fd3216e71a6368.jpg,280,280,[],False,,False,4109,,,False,False,,,[],,,2226245,,,False,"{'text': 'Đã bán 1841', 'value': 1841}",,,80000,True,"[{'impression_id': 'thanos-product-FmUwt8wTNraCr2sr', 'metadata': {'price': 49000, 'rating_average': 4.7, 'reviews_count': 137, 'seller_product_id': 2226245}, 'checksum': ''}, {'impression_id': '53f73c66-581e-4a22-9894-0be8b5c644a7', 'metadata': {'product_id': 4109, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1883/1973/3710,0,2684
5,89227279,8138572773254,"Giấy bạc dán tường nhà bếp chống thấm dầu, thấm nước tiện dụng, cách nhiệt",giay-bac-dan-tuong-nha-bep-chong-tham-dau-tham-nuoc-tien-dung-cach-nhiet-p89227279,giay-bac-dan-tuong-nha-bep-chong-tham-dau-tham-nuoc-tien-dung-cach-nhiet-p89227279.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.89227288&itm_medium=CPC&itm_source=tiki-reco&spid=89227288,,,,ZOOYOO,,39000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}]",30000,43,4.1,157,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/67/fc/12/94eb23d036bebf512de1def1aa0fc900.jpg,280,280,[],False,,False,4109,,,False,False,,,[],,,89227288,,,False,"{'text': 'Đã bán 780', 'value': 780}",,,69000,True,"[{'impression_id': 'thanos-product-I7CSHwXBWDuNjZk1', 'metadata': {'price': 39000, 'rating_average': 4.1, 'reviews_count': 157, 'seller_product_id': 89227288}, 'checksum': ''}, {'impression_id': 'f3701446-2f8f-4f1c-b8ea-f8bc8da4204c', 'metadata': {'product_id': 4109, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1883/1973/3710,0,2684
6,155528718,7675755730010,giấy dán tường giấy dán bếp giả đá cực chất chống nước chịu nhiệt chống dầu mỡ dài 5m rộng 60cm,giay-dan-tuong-giay-dan-bep-gia-da-cuc-chat-chong-nuoc-chiu-nhiet-chong-dau-mo-dai-5m-rong-60cm-p155528718,giay-dan-tuong-giay-dan-bep-gia-da-cuc-chat-chong-nuoc-chiu-nhiet-chong-dau-mo-dai-5m-rong-60cm-p155528718.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.261798874&itm_medium=CPC&itm_source=tiki-reco&spid=261798874,,,,OEM,,8900,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/07/4a/99/bc608422f39737aa02a711bf994fe8b2.jpg,280,280,[],False,,False,4109,,,False,False,,,[],,,261798874,,,False,"{'text': 'Đã bán 11', 'value': 11}",,,8900,True,"[{'impression_id': 'thanos-product-w3kJo84v8khdMUFn', 'metadata': {'price': 8900, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 261798874}, 'checksum': ''}, {'impression_id': 'e99422e9-3fe2-4294-9923-fd5c7f5c156e', 'metadata': {'product_id': 4109, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1883/1973/3710,0,256755
7,1937707,2822437782384,Decal Dán Tường Bé Đi Sở Thú,decal-dan-tuong-be-di-so-thu-p1937707,decal-dan-tuong-be-di-so-thu-p1937707.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.1937709&itm_medium=CPC&itm_source=tiki-reco&spid=1937709,,,,ZOOYOO,,39900,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}]",37100,48,4.6,76,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/70/ca/84/9c50f6b5c5e2581d67f42971c96be49d.jpg,280,280,[],False,,False,4109,,,False,False,,,[],,,1937709,,,False,"{'text': 'Đã bán 1174', 'value': 1174}",,,77000,True,"[{'impression_id': 'thanos-product-xtSonldnlnMGKeuO', 'metadata': {'price': 39900, 'rating_average': 4.6, 'reviews_count': 76, 'seller_product_id': 1937709}, 'checksum': ''}, {'impression_id': 'b1e23c8f-2801-4533-b88b-790bc41d53c0', 'metadata': {'product_id': 4109, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1883/1973/3710,0,2684
8,249395091,7626884682520,"Miếng dán tủ lạnh chất liệu decal ( 4 bộ kích thước lựa chọn ), không thấm nước, keo ngược mặt sau, bám dính chắc chắn, dễ dàng lau chùi, hình ảnh in sắc nét",mieng-dan-tu-lanh-chat-lieu-decal-4-bo-kich-thuoc-lua-chon-khong-tham-nuoc-keo-nguoc-mat-sau-bam-dinh-chac-chan-de-dang-lau-chui-hinh-anh-in-sac-net-p249395091,mieng-dan-tu-lanh-chat-lieu-decal-4-bo-kich-thuoc-lua-chon-khong-tham-nuoc-keo-nguoc-mat-sau-bam-dinh-chac-chan-de-dang-lau-chui-hinh-anh-in-sac-net-p249395091.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.249395093&itm_medium=CPC&itm_source=tiki-reco&spid=249395093,,,,OEM,,69000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (374 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,4,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/e8/d9/09/fc7508116738c9c84ec5cf3e22a51c21.png,280,280,[],False,,False,4109,,,False,False,,,[],,,249395093,,,False,"{'text': 'Đã bán 26', 'value': 26}",,,69000,True,"[{'impression_id': 'thanos-product-301ANrkwn8XJjk9s', 'metadata': {'price': 69000, 'rating_average': 5, 'reviews_count': 4, 'seller_product_id': 249395093}, 'checksum': ''}, {'impression_id': 'c2c6ce04-ef02-4622-bf6d-7ab089031d61', 'metadata': {'product_id': 4109, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1883/1973/3710,0,331078
9,53708547,6773657735437,Combo 2 cuộn giấy bạc dán tường tặng kèm 3 khăn lau bếp,combo-2-cuon-giay-bac-dan-tuong-tang-kem-3-khan-lau-bep-p53708547,combo-2-cuon-giay-bac-dan-tuong-tang-kem-3-khan-lau-bep-p53708547.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.57043865&itm_medium=CPC&itm_source=tiki-reco&spid=57043865,,,,OEM,,53000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 10 ASA (2k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",6000,10,4.8,10,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/eb/4b/5c/4db645c96c71ceb443efd79995073b14.jpg,280,280,[],False,,False,4109,,,False,False,,,[],,,57043865,,,False,"{'text': 'Đã bán 49', 'value': 49}",,,59000,True,"[{'impression_id': 'thanos-product-035CWfrputd536ep', 'metadata': {'price': 53000, 'rating_average': 4.8, 'reviews_count': 10, 'seller_product_id': 57043865}, 'checksum': ''}, {'impression_id': '4c4c393f-8172-45f4-83e2-40e8e7ec3036', 'metadata': {'product_id': 4109, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1883/1973/3710,0,131238
