,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,video_url,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id
0,48813144,8532102389117,Dụng cụ tập cơ tay điều chỉnh lực từ 5-60kg tặng kèm bóp tay thể thao (Màu ngẫu nhiên),dung-cu-tap-co-tay-dieu-chinh-luc-tu-5-60kg-tang-kem-bop-tay-the-thao-mau-ngau-nhien-p48813144,dung-cu-tap-co-tay-dieu-chinh-luc-tu-5-60kg-tang-kem-bop-tay-the-thao-mau-ngau-nhien-p48813144.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.59156044&itm_medium=CPC&itm_source=tiki-reco&spid=59156044,,,,OEM,,79000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 15 ASA (3k ₫)<br/>≈ 4.3% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",40000,34,4.6,152,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ed/67/0d/9233ad374fb6f957bf99afb808bd2f49.jpg,280,280,[],False,,False,3533,,,False,False,,,[],,,59156044,,,False,"{'text': 'Đã bán 551', 'value': 551}",,,119000,True,"[{'impression_id': 'thanos-product-77uuyZaVraNVJDTv', 'metadata': {'price': 79000, 'rating_average': 4.6, 'reviews_count': 152, 'seller_product_id': 59156044}, 'checksum': ''}, {'impression_id': '38ff0357-071a-43ac-847e-5415189fe636', 'metadata': {'product_id': 3533, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1975/24128/24166,0,141792
1,68976174,2398724102857,Kìm Bóp Cơ Tay Điều Chỉnh Lực 5-60kg Cỡ To Đẹp Chắc Chắn,kim-bop-co-tay-dieu-chinh-luc-5-60kg-co-to-dep-chac-chan-p68976174,kim-bop-co-tay-dieu-chinh-luc-5-60kg-co-to-dep-chac-chan-p68976174.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.68976175&itm_medium=CPC&itm_source=tiki-reco&spid=68976175,,,,TP Tiến Phát SMART,,49000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 1 ASA (267 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",31000,39,4.7,396,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/b8/c8/b7/ab40e04d53569a92adf035645220d774.jpg,280,280,[],False,,False,3533,,,False,False,,,[],,,68976175,,,False,"{'text': 'Đã bán 1576', 'value': 1576}",,,80000,True,"[{'impression_id': 'thanos-product-m6jghVMJFgSNm0Ny', 'metadata': {'price': 49000, 'rating_average': 4.7, 'reviews_count': 396, 'seller_product_id': 68976175}, 'checksum': ''}, {'impression_id': '610a4b97-1bcd-48ea-b24f-11764dab02d9', 'metadata': {'product_id': 3533, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1975/24128/24166,0,2026
2,208629714,1285691183775,Kìm Bóp Tay Pro Đếm Số Điện Tử - Chọn Màu - Dụng Cụ Tập Gym Tập Cơ Bắp Cổ Tay Cao Cấp Tại Nhà Điều Chỉnh Lực Từ 10-100kg Chính Hãng Dododios,kim-bop-tay-pro-dem-so-dien-tu-chon-mau-dung-cu-tap-gym-tap-co-bap-co-tay-cao-cap-tai-nha-dieu-chinh-luc-tu-10-100kg-chinh-hang-dododios-p208629714,kim-bop-tay-pro-dem-so-dien-tu-chon-mau-dung-cu-tap-gym-tap-co-bap-co-tay-cao-cap-tai-nha-dieu-chinh-luc-tu-10-100kg-chinh-hang-dododios-p208629714.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.217510070&itm_medium=CPC&itm_source=tiki-reco&spid=217510070,,,,dododios,,49000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 1 ASA (267 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.8,48,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/52/db/fb/0a0aa76d01de54d003c55587c9623c04.png,280,280,[],False,,False,3533,,,False,False,,,[],,,217510070,,,False,"{'text': 'Đã bán 262', 'value': 262}",,,49000,True,"[{'impression_id': 'thanos-product-Six62YZKQojiOWBB', 'metadata': {'price': 49000, 'rating_average': 4.8, 'reviews_count': 48, 'seller_product_id': 217510070}, 'checksum': ''}, {'impression_id': 'f57f1129-c7bf-4011-99b3-111b2685d020', 'metadata': {'product_id': 3533, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1975/24128/24166,0,248883
3,151453146,4082043641842,"Kìm Bóp Tay, Kìm Tập Cơ Tay, Dụng Cụ Tập Cơ Tay Tập Gym Điều Chỉnh Lực 10-60kg Có Đếm",kim-bop-tay-kim-tap-co-tay-dung-cu-tap-co-tay-tap-gym-dieu-chinh-luc-10-60kg-co-dem-p151453146,kim-bop-tay-kim-tap-co-tay-dung-cu-tap-co-tay-tap-gym-dieu-chinh-luc-10-60kg-co-dem-p151453146.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.213688984&itm_medium=CPC&itm_source=tiki-reco&spid=213688984,,,,OEM,,29000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}]",0,0,4.7,16,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/1b/d5/c9/4c55fd46bbc96f337ecf4f735cd44bfd.jpg,280,280,[],False,,False,3533,,,False,False,,,[],,,213688984,,,False,"{'text': 'Đã bán 77', 'value': 77}",,,29000,True,"[{'impression_id': 'thanos-product-WtSWkiMtxUJoKKwM', 'metadata': {'price': 29000, 'rating_average': 4.7, 'reviews_count': 16, 'seller_product_id': 213688984}, 'checksum': ''}, {'impression_id': '6c040f8f-38df-41c9-894a-99331c356ef2', 'metadata': {'product_id': 3533, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1975/24128/24166,0,104132
4,137940270,1484195402951,"Kìm Bóp Tập Cơ Tay điều chỉnh từ 5 - 60kg Đếm Nhịp KitAcoom, Hàng Nhập Khẩu Chính Hãng Giao Màu Ngẫu Nhiên",kim-bop-tap-co-tay-dieu-chinh-tu-5-60kg-dem-nhip-kitacoom-hang-nhap-khau-chinh-hang-giao-mau-ngau-nhien-p137940270,kim-bop-tap-co-tay-dieu-chinh-tu-5-60kg-dem-nhip-kitacoom-hang-nhap-khau-chinh-hang-giao-mau-ngau-nhien-p137940270.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.137940271&itm_medium=CPC&itm_source=tiki-reco&spid=137940271,,,,KitAcoom,,103000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 23 ASA (5k ₫)<br/>≈ 4.9% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",56999,36,4.3,58,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/21/29/99/91a728b20f63d13a7f4193a497a22c04.jpg,280,280,[],False,,False,3533,,,False,False,,,[],,,137940271,,,False,"{'text': 'Đã bán 307', 'value': 307}",https://salt.tikicdn.com/ts/video/cb/7f/64/b14c04e1007e233c4d86d0acdf091122.mp4,,159999,True,"[{'impression_id': 'thanos-product-GNikCnlIrXM2jxNu', 'metadata': {'price': 103000, 'rating_average': 4.3, 'reviews_count': 58, 'seller_product_id': 137940271}, 'checksum': ''}, {'impression_id': 'ee847f1c-8062-439c-9388-b2ca23919eb4', 'metadata': {'product_id': 3533, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1975/24128/24166,0,169426
5,208292338,3334178892564,"Kìm bóp tay đếm số kiềm bóp tay tùy chỉnh lực 5-60kg TXstar tập cơ tay tại nhà, hand grip",kim-bop-tay-dem-so-kiem-bop-tay-tuy-chinh-luc-5-60kg-tap-co-tay-tai-nha-hand-grip-p208292338,kim-bop-tay-dem-so-kiem-bop-tay-tuy-chinh-luc-5-60kg-tap-co-tay-tai-nha-hand-grip-p208292338.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.263093278&itm_medium=CPC&itm_source=tiki-reco&spid=263093278,,,,OEM,,44000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 1 ASA (240 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/32/0f/f1/959bc2b3a73d6b8ce367c51042fa9b4f.jpg,280,280,[],False,,False,3533,,,False,False,,,[],,,263093278,,,False,,https://salt.tikicdn.com/ts/video/04/68/5c/a8910ad81294d7cd16b6d086e95913b1.mp4,,44000,True,"[{'impression_id': 'thanos-product-awrlCi7sBS21rLOg', 'metadata': {'price': 44000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 263093278}, 'checksum': ''}, {'impression_id': 'ff552635-8a55-42b6-b35c-b16181edc4b9', 'metadata': {'product_id': 3533, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1975/24128/24166,0,177515
6,192455633,6454500496483,"Kìm bóp tập tay dụng cụ hỗ trợ tập cơ tay, cẳng tay, kìm tùy chỉnh lực từ 5 đến 60kg có bộ đếm số",kim-bop-tap-tay-dung-cu-ho-tro-tap-co-tay-cang-tay-kim-tuy-chinh-luc-tu-5-den-60kg-co-bo-dem-so-p192455633,kim-bop-tap-tay-dung-cu-ho-tro-tap-co-tay-cang-tay-kim-tuy-chinh-luc-tu-5-den-60kg-co-bo-dem-so-p192455633.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.192455637&itm_medium=CPC&itm_source=tiki-reco&spid=192455637,,,,GUANG YU,,53000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 1 ASA (289 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",42000,44,4.7,107,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/89/af/3c/3ba825d4211f379c083b556c28edced8.jpg,280,280,[],False,,False,3533,,,False,False,,,[],,,192455637,,,False,"{'text': 'Đã bán 588', 'value': 588}",https://salt.tikicdn.com/ts/video/c9/d8/e8/e88f8a97b0e6d4c57b84ca3f14b37f79.mp4,,95000,True,"[{'impression_id': 'thanos-product-e3ej55dm3zQo109g', 'metadata': {'price': 53000, 'rating_average': 4.7, 'reviews_count': 107, 'seller_product_id': 192455637}, 'checksum': ''}, {'impression_id': 'ff24da20-91b3-4b69-8e7b-cdb4d35d530d', 'metadata': {'product_id': 3533, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1975/24128/24166,0,145628
7,168086409,5746681091653,"Kìm Bóp Tay, Dụng Cụ Tập Cơ Tay Chuyên Nghiệp 10-60Kg Bấm Số ( Kìm R Xịn )",kim-bop-tay-dung-cu-tap-co-tay-chuyen-nghiep-10-60kg-bam-so-kim-r-xin-p168086409,kim-bop-tay-dung-cu-tap-co-tay-chuyen-nghiep-10-60kg-bam-so-kim-r-xin-p168086409.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.203150317&itm_medium=CPC&itm_source=tiki-reco&spid=203150317,,,,OEM,,36900,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}]",0,0,4.7,9,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ec/01/37/325f0bb0e4643db97a2d797119e279cd.jpg,280,280,[],False,,False,3533,,,False,False,,,[],,,203150317,,,False,"{'text': 'Đã bán 41', 'value': 41}",,,36900,True,"[{'impression_id': 'thanos-product-bsVGZitiRfZ5aPxE', 'metadata': {'price': 36900, 'rating_average': 4.7, 'reviews_count': 9, 'seller_product_id': 203150317}, 'checksum': ''}, {'impression_id': '284810fb-d82f-4a07-8be0-b63d15477e41', 'metadata': {'product_id': 3533, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1975/24128/24166,0,258659
8,217510342,5526880984439,"Kìm Bóp Tay, Kìm Tập Cơ Tay Chữ R Dụng Cụ Tập Gym Kìm Bóp Tập Lực TayTại Nhà Chỉnh lực 5 - 60kg, Kìm Bóp Tập Cơ Tay Phục Hồi Chứ Năng YGW12 lực 100Lbs, thép không rỉ, êm tay, Kìm Bóp 5-60kg Tập Cơ Tay Điều Chỉnh Cao Cấp",kim-bop-tay-kim-tap-co-tay-chu-r-dung-cu-tap-gym-kim-bop-tap-luc-taytai-nha-chinh-luc-5-60kg-kim-bop-tap-co-tay-phuc-hoi-chu-nang-ygw12-luc-100lbs-thep-khong-ri-em-tay-kim-bop-5-60kg-tap-co-tay-dieu-chinh-cao-cap-p217510342,kim-bop-tay-kim-tap-co-tay-chu-r-dung-cu-tap-gym-kim-bop-tap-luc-taytai-nha-chinh-luc-5-60kg-kim-bop-tap-co-tay-phuc-hoi-chu-nang-ygw12-luc-100lbs-thep-khong-ri-em-tay-kim-bop-5-60kg-tap-co-tay-dieu-chinh-cao-cap-p217510342.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.217510344&itm_medium=CPC&itm_source=tiki-reco&spid=217510344,,,,dododios,,49000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 1 ASA (267 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.5,4,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/52/db/fb/d4248facf2c3fb876189d23943408348.png,280,280,[],False,,False,3533,,,False,False,,,[],,,217510344,,,False,"{'text': 'Đã bán 11', 'value': 11}",https://salt.tikicdn.com/ts/video/80/58/03/1757eb73c1a089d78e02ad518c116c77.mp4,,49000,True,"[{'impression_id': 'thanos-product-qV42Nm7r2unIQaOb', 'metadata': {'price': 49000, 'rating_average': 4.5, 'reviews_count': 4, 'seller_product_id': 217510344}, 'checksum': ''}, {'impression_id': 'faee8459-fac9-43d7-a5b8-235a345471f6', 'metadata': {'product_id': 3533, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1975/24128/24166,0,248883
9,89754166,3141166051366,"Kìm Bóp Tay, Dụng Cụ Tập Cơ Tay Cao Cấp, Kìm Tập Gym Bấm Số Tự Động (5-60 Kg) Hàng Cao Cấp Tay Cầm Dài ",kim-bop-tay-dung-cu-tap-co-tay-cao-cap-kim-tap-gym-bam-so-tu-dong-5-60-kg-hang-cao-cap-tay-cam-dai-p89754166,kim-bop-tay-dung-cu-tap-co-tay-cao-cap-kim-tap-gym-bam-so-tu-dong-5-60-kg-hang-cao-cap-tay-cam-dai-p89754166.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.96288329&itm_medium=CPC&itm_source=tiki-reco&spid=96288329,,,,TP Tiến Phát SMART,,89000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (485 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.5,30,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/40/db/ed/0ff250a46f652af55aaf57473dc908b8.jpg,280,280,[],False,,False,3533,,,False,False,,,[],,,96288329,,,False,"{'text': 'Đã bán 205', 'value': 205}",,,89000,True,"[{'impression_id': 'thanos-product-vM2kWjnUGQds4vTH', 'metadata': {'price': 89000, 'rating_average': 4.5, 'reviews_count': 30, 'seller_product_id': 96288329}, 'checksum': ''}, {'impression_id': 'cd96add0-728a-491a-bb1d-c52b21b4d874', 'metadata': {'product_id': 3533, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1975/24128/24166,0,11661
