,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,video_url,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id
0,143427338,8602161061714,"Tủ Sấy Chén Bát Khử Trùng, Máy Sấy Chén Bát Đĩa Khử Khuẩn Khử Trùng - Hàng Chính Hãng",tu-say-chen-bat-khu-trung-may-say-chen-bat-dia-khu-khuan-khu-trung-hang-chinh-hang-p143427338,tu-say-chen-bat-khu-trung-may-say-chen-bat-dia-khu-khuan-khu-trung-hang-chinh-hang-p143427338.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.143427339&itm_medium=CPC&itm_source=tiki-reco&spid=143427339,,,,pehouse,,1949000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 314 ASA (68k ₫)<br/>≈ 3.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",240000,11,4.8,17,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/c8/32/0b/c0865767dc9807243f6850a2ef38092c.jpg,280,280,[],False,,False,2747,,,False,False,,,[],,,143427339,,,False,"{'text': 'Đã bán 47', 'value': 47}",https://salt.tikicdn.com/ts/video/36/0e/c3/45ad86192be57a8c30597d5a71df7ef6.mp4,,2189000,True,"[{'impression_id': 'thanos-product-6WoAgcOh1s9jAPEt', 'metadata': {'price': 1949000, 'rating_average': 4.8, 'reviews_count': 17, 'seller_product_id': 143427339}, 'checksum': ''}, {'impression_id': '9fcb251a-3866-4378-bbaa-79bce5b37c5d', 'metadata': {'product_id': 2747, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1882/1884/23818,0,225210
1,163902744,3477047085664,Máy sấy chén (bát) tiệt trùng Kangaroo KG45DUV (315W) - Hàng chính hãng,may-say-chen-bat-tiet-trung-kangaroo-kg45duv-hang-chinh-hang-p163902744,may-say-chen-bat-tiet-trung-kangaroo-kg45duv-hang-chinh-hang-p163902744.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.163902745&itm_medium=CPC&itm_source=tiki-reco&spid=163902745,,,,Kangaroo,,1870000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 2, ngày 19/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 291 ASA (63k ₫)<br/>≈ 3.4% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",1120000,37,4.5,14,0,0,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/51/0d/e4/9add1e1e7de3e694b59a02062627a200.jpg,280,280,[],False,,False,2747,,,False,False,,,[],,,163902745,,,False,"{'text': 'Đã bán 70', 'value': 70}",,,2990000,True,"[{'impression_id': 'thanos-product-aMnzWTIXJWBuIH9H', 'metadata': {'price': 1870000, 'rating_average': 4.5, 'reviews_count': 14, 'seller_product_id': 163902745}, 'checksum': ''}, {'impression_id': 'b4aa2856-a280-476d-b14c-8bd9ebb24b83', 'metadata': {'product_id': 2747, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1882/1884/23818,0,1
2,163902742,1180739984770,Máy sấy chén (bát) tiệt trùng Kangaroo KG45DD (315W) - Hàng chính hãng,may-say-chen-bat-tiet-trung-kangaroo-kg45dd-hang-chinh-hang-p163902742,may-say-chen-bat-tiet-trung-kangaroo-kg45dd-hang-chinh-hang-p163902742.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.163902743&itm_medium=CPC&itm_source=tiki-reco&spid=163902743,,,,Kangaroo,,1550000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 39 ASA (8k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",940000,38,4.1,13,0,0,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/85/b9/2e/16cd8664440edebb43f74fdb77e7dd8c.jpg,280,280,[],False,,False,2747,,,False,False,,,[],,,163902743,,,False,"{'text': 'Đã bán 50', 'value': 50}",,,2490000,True,"[{'impression_id': 'thanos-product-hq0w8SGXkWaaqf8q', 'metadata': {'price': 1550000, 'rating_average': 4.1, 'reviews_count': 13, 'seller_product_id': 163902743}, 'checksum': ''}, {'impression_id': '4214e183-7ccd-414b-9a65-613dcf4988bf', 'metadata': {'product_id': 2747, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1882/1884/23818,0,1
3,74885548,7651984209212,Máy Sấy Bát Diệt Khuẩn Tia UV Dung Tích 98L,tu-say-bat-mau-moi-2-canh-cao-690mm-p74885548,tu-say-bat-mau-moi-2-canh-cao-690mm-p74885548.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.74885549&itm_medium=CPC&itm_source=tiki-reco&spid=74885549,,,,OEM,,1599000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 40 ASA (9k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.2,6,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/4a/87/27/9073fc846b398649ea764448ef3228db.jpeg,280,280,[],False,,False,2747,,,False,False,,,[],,,74885549,,,False,"{'text': 'Đã bán 18', 'value': 18}",https://salt.tikicdn.com/ts/video/d1/20/8f/71063129f16b30a4e30a5f761a4f3d55.mp4,,1599000,True,"[{'impression_id': 'thanos-product-rJwCVjZnuNkljyt4', 'metadata': {'price': 1599000, 'rating_average': 4.2, 'reviews_count': 6, 'seller_product_id': 74885549}, 'checksum': ''}, {'impression_id': 'f3ab74b8-fa52-40e5-9519-047f22fce2c3', 'metadata': {'product_id': 2747, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1882/1884/23818,0,17016
4,207559496,6228104423907,"Máy sấy bát khử khuẩn màn hình cảm ứng dung tích 350L, tủ sấy chén bát đa năng 2 cánh có ngăn kéo tiện lợi",may-say-bat-khu-khuan-man-hinh-cam-ung-dung-tich-350l-tu-say-chen-bat-da-nang-2-canh-co-ngan-keo-tien-loi-p207559496,may-say-bat-khu-khuan-man-hinh-cam-ung-dung-tich-350l-tu-say-chen-bat-da-nang-2-canh-co-ngan-keo-tien-loi-p207559496.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.207559498&itm_medium=CPC&itm_source=tiki-reco&spid=207559498,,,,OEM,,5599000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'freegift_items', 'placement': 'under_rating', 'text': 'Quà tặng', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 140 ASA (30k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,2,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/11/41/30/47682c175fb3b9d4542d33c5ac80c05d.jpg,280,280,[],False,,False,2747,,,False,False,,,[],,,207559498,,,False,"{'text': 'Đã bán 5', 'value': 5}",https://salt.tikicdn.com/ts/video/bc/ba/a0/b744a26431d63c477c4b60ad358cbd40.mp4,,5599000,True,"[{'impression_id': 'thanos-product-CZbxdYaa24q1v8aD', 'metadata': {'price': 5599000, 'rating_average': 5, 'reviews_count': 2, 'seller_product_id': 207559498}, 'checksum': ''}, {'impression_id': 'b9c9fa49-382b-43fd-a047-fded64edc5e1', 'metadata': {'product_id': 2747, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1882/1884/23818,0,31606
5,208192247,7769163849046,Máy sấy bát đĩa hiện đại 68L Tiện lợi Đa năng - Máy Sấy Đĩa Bát Thông minh Công Nghệ Khử khuẩn ozone Tia UV Cao cấp PR97,may-say-bat-dia-hien-dai-68l-tien-loi-da-nang-may-say-dia-bat-thong-minh-cong-nghe-khu-khuan-ozone-tia-uv-cao-cap-pr97-p208192247,may-say-bat-dia-hien-dai-68l-tien-loi-da-nang-may-say-dia-bat-thong-minh-cong-nghe-khu-khuan-ozone-tia-uv-cao-cap-pr97-p208192247.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.208192248&itm_medium=CPC&itm_source=tiki-reco&spid=208192248,,,,OEM,,2800000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 394 ASA (85k ₫)<br/>≈ 3.0% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/84/3d/8f/770548482dae22e82b02962017c26c81.jpg,280,280,[],False,,False,2747,,,False,False,,,[],,,208192248,,,False,"{'text': 'Đã bán 3', 'value': 3}",,,2800000,True,"[{'impression_id': 'thanos-product-LjIWefUwi2j1SUA3', 'metadata': {'price': 2800000, 'rating_average': 5, 'reviews_count': 1, 'seller_product_id': 208192248}, 'checksum': ''}, {'impression_id': '9f1eae2f-9c1e-483d-9d84-7faadce5ff6a', 'metadata': {'product_id': 2747, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1882/1884/23818,0,109884
6,210284106,8665291396889,"Máy Sấy Bát Đĩa Khử Khuẩn 350L, Tủ Sấy Chén Đĩa 2 Cánh Có Ngăn Kéo",may-say-bat-dia-khu-khuan-750l-tu-say-chen-dia-2-canh-co-ngan-keo-p210284106,may-say-bat-dia-khu-khuan-750l-tu-say-chen-dia-2-canh-co-ngan-keo-p210284106.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.210284107&itm_medium=CPC&itm_source=tiki-reco&spid=210284107,,,,OEM,,6299000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 157 ASA (34k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/f9/8a/ba/726d95b8418e3ef915171b9dcd547581.jpg,280,280,[],False,,False,2747,,,False,False,,,[],,,210284107,,,False,"{'text': 'Đã bán 3', 'value': 3}",,,6299000,True,"[{'impression_id': 'thanos-product-hjY8blwomvkPE8sW', 'metadata': {'price': 6299000, 'rating_average': 5, 'reviews_count': 1, 'seller_product_id': 210284107}, 'checksum': ''}, {'impression_id': 'd342b977-5622-4fa0-9af1-227e0c1b4c94', 'metadata': {'product_id': 2747, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1882/1884/23818,0,8181
7,202860573,4264399577048,Tủ sấy bát gia đình 2 tầng KT-198 dung tích 98 lít,tu-say-bat-gia-dinh-2-tang-kt-198-dung-tich-98-lit-p202860573,tu-say-bat-gia-dinh-2-tang-kt-198-dung-tich-98-lit-p202860573.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.202860577&itm_medium=CPC&itm_source=tiki-reco&spid=202860577,,,,OEM,,1599000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 40 ASA (9k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,2.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/74/8a/8f/b3c0290d992d80a3e5e9659552da9d94.jpg,280,280,[],False,,False,2747,,,False,False,,,[],,,202860577,,,False,"{'text': 'Đã bán 1', 'value': 1}",,,1599000,True,"[{'impression_id': 'thanos-product-Ha9slm7Oj3FUSuYq', 'metadata': {'price': 1599000, 'rating_average': 2, 'reviews_count': 1, 'seller_product_id': 202860577}, 'checksum': ''}, {'impression_id': '9636415b-887d-4ff6-ab85-8591aaa5ad93', 'metadata': {'product_id': 2747, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1882/1884/23818,0,116867
8,178255837,4959350079550,Tủ sấy bát gia đình 2 tầng KS-980A dung tích 98 lít - Máy sấy bát đĩa,tu-say-bat-gia-dinh-2-tang-ks-980a-dung-tich-98-lit-may-say-bat-dia-p178255837,tu-say-bat-gia-dinh-2-tang-ks-980a-dung-tich-98-lit-may-say-bat-dia-p178255837.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.178255839&itm_medium=CPC&itm_source=tiki-reco&spid=178255839,,,,OEM,,1599000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 40 ASA (9k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",401000,20,5.0,2,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/9d/cd/5f/e9f65e1909a4c876bffa95684d02b402.jpg,280,280,[],False,,False,2747,,,False,False,,,[],,,178255839,,,False,"{'text': 'Đã bán 18', 'value': 18}",,,2000000,True,"[{'impression_id': 'thanos-product-12YLUTJugD6CRebi', 'metadata': {'price': 1599000, 'rating_average': 5, 'reviews_count': 2, 'seller_product_id': 178255839}, 'checksum': ''}, {'impression_id': 'e2c8fc37-7d85-499e-8f2f-ef3102acc7ef', 'metadata': {'product_id': 2747, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1882/1884/23818,0,116867
9,68570475,1259952136318,Tủ sấy chén bát khử trùng Midea MXV-ZLP80XC65-R (750W) - Hàng Chính Hãng,tu-say-chen-bat-khu-trung-midea-mxv-zlp80xc65-r-hang-chinh-hang-p68570475,tu-say-chen-bat-khu-trung-midea-mxv-zlp80xc65-r-hang-chinh-hang-p68570475.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.91773195&itm_medium=CPC&itm_source=tiki-reco&spid=91773195,,,,Midea,,3290000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 448 ASA (97k ₫)<br/>≈ 2.9% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",700000,18,4.5,11,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/60/7e/e4/330b46a3bc76f92ed327c0b2614e1f53.jpg,280,280,[],False,,False,2747,,,False,False,,,[],,,91773195,,,False,"{'text': 'Đã bán 50', 'value': 50}",,,3990000,True,"[{'impression_id': 'thanos-product-VpLOypjwBVrSdqdh', 'metadata': {'price': 3290000, 'rating_average': 4.5, 'reviews_count': 11, 'seller_product_id': 91773195}, 'checksum': ''}, {'impression_id': '078be9f4-1b42-446d-aa7e-77c75ae0204d', 'metadata': {'product_id': 2747, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1882/1884/23818,0,2172
