,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,video_url,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id
0,151676645,4466832950927,Kem Dưỡng Mềm Mịn Da Tay Và Dưỡng Móng 3 Trong 1 Eveline Extra Soft 100ml,kem-duong-mem-min-da-tay-va-duong-mong-3-trong-1-eveline-extra-soft-100ml-p151676645,kem-duong-mem-min-da-tay-va-duong-mong-3-trong-1-eveline-extra-soft-100ml-p151676645.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.151676652&itm_medium=CPC&itm_source=tiki-reco&spid=151676652,,,,Eveline,,81000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (439 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",34000,30,4.5,15,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ed/ff/60/65b79aad021d3b13f402bd6288154d75.jpg,280,280,[],False,,False,937,,,False,False,,,[],,,151676652,,,False,"{'text': 'Đã bán 84', 'value': 84}",,,115000,True,"[{'impression_id': 'thanos-product-JlQzPPUYZhILS0dp', 'metadata': {'price': 81000, 'rating_average': 4.5, 'reviews_count': 15, 'seller_product_id': 151676652}, 'checksum': ''}, {'impression_id': 'b1f783e6-83c8-415d-b44b-f08a3a82b7be', 'metadata': {'product_id': 937, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1592/5900,0,254366
1,40871895,2281582487238,Kem hỗ trợ giảm gân tay chống lão hoá da tay - Kem trẻ hoá hết nhăn da tay KPEM 100ml,kem-ho-tro-giam-gan-tay-chong-lao-hoa-da-tay-kem-tre-hoa-het-nhan-da-tay-kpem-100ml-p40871895,kem-ho-tro-giam-gan-tay-chong-lao-hoa-da-tay-kem-tre-hoa-het-nhan-da-tay-kpem-100ml-p40871895.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.138914821&itm_medium=CPC&itm_source=tiki-reco&spid=138914821,,,,Kpem,,115000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (623 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",135000,54,4.7,41,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/6c/51/86/3d5111e7206448f10cd6253600042675.png,280,280,[],False,,False,937,,,False,False,,,[],,,138914821,,,False,"{'text': 'Đã bán 268', 'value': 268}",,,250000,True,"[{'impression_id': 'thanos-product-MAhdee7dB6HkBdns', 'metadata': {'price': 115000, 'rating_average': 4.7, 'reviews_count': 41, 'seller_product_id': 138914821}, 'checksum': ''}, {'impression_id': '2f974069-e08c-4789-89ac-13512e1051b4', 'metadata': {'product_id': 937, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1592/5900,0,77388
2,119254247,9572375430326,Sữa dưỡng da tay mềm mại sáng màu không nhờn dính Hatomugi 65g (REIHAKU HATOMUGI HAND CREAM) tặng túi thun cột tóc,sua-duong-da-tay-mem-mai-sang-mau-khong-nhon-dinh-hatomugi-65g-reihaku-hatomugi-hand-cream-tang-tui-thun-cot-toc-p119254247,sua-duong-da-tay-mem-mai-sang-mau-khong-nhon-dinh-hatomugi-65g-reihaku-hatomugi-hand-cream-tang-tui-thun-cot-toc-p119254247.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.203868244&itm_medium=CPC&itm_source=tiki-reco&spid=203868244,,,,Hatomugi,,65000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (352 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,5,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/9c/39/45/c6b07d5b599cc9b98b79121541a19489.jpg,280,280,[],False,,False,937,,,False,False,,,[],,,203868244,,,False,"{'text': 'Đã bán 72', 'value': 72}",,,65000,True,"[{'impression_id': 'thanos-product-N5s7zYdnqAKjRMY8', 'metadata': {'price': 65000, 'rating_average': 5, 'reviews_count': 5, 'seller_product_id': 203868244}, 'checksum': ''}, {'impression_id': '987e3c1a-2505-4e05-b760-d8b0f94b049b', 'metadata': {'product_id': 937, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1592/5900,0,1
3,56404021,2858208742099,Kem Ngừa Đồi Mồi Và Dưỡng Trắng Da Tay KPEM 50ml NGA,kem-ngua-doi-moi-va-duong-trang-da-tay-kpem-50ml-nga-p56404021,kem-ngua-doi-moi-va-duong-trang-da-tay-kpem-50ml-nga-p56404021.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.104718030&itm_medium=CPC&itm_source=tiki-reco&spid=104718030,,,,Kpem,,116000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (629 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",19000,14,4.5,35,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/80/51/99/8bac03ac9b7b280a9bac8e3fd5831949.jpg,280,280,[],False,,False,937,,,False,False,,,[],,,104718030,,,False,"{'text': 'Đã bán 351', 'value': 351}",,,135000,True,"[{'impression_id': 'thanos-product-fdr6NmYMjvIjNsI5', 'metadata': {'price': 116000, 'rating_average': 4.5, 'reviews_count': 35, 'seller_product_id': 104718030}, 'checksum': ''}, {'impression_id': '00bc8603-37c1-4169-a59f-4991a01cfe5d', 'metadata': {'product_id': 937, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1592/5900,0,77388
4,45543135,7069789386678,Gel Dưỡng Da Tay Hương Trà Xanh Innisfree Green Tea Pure Gel Hand Cream EX 50ml - 131171028,gel-duong-da-tay-huong-tra-xanh-innisfree-green-tea-pure-gel-hand-cream-ex-50ml-131171028-p45543135,gel-duong-da-tay-huong-tra-xanh-innisfree-green-tea-pure-gel-hand-cream-ex-50ml-131171028-p45543135.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.45543136&itm_medium=CPC&itm_source=tiki-reco&spid=45543136,,,,Innisfree,,142000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 28 ASA (6k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",8000,5,5.0,25,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/cb/2e/b5/5e754e68e11f19b3677aefd635af9e07.png,280,280,[],False,,False,937,,,False,False,,,[],,,45543136,,,False,"{'text': 'Đã bán 165', 'value': 165}",,,150000,True,"[{'impression_id': 'thanos-product-03Aofp0G6sXtYY0s', 'metadata': {'price': 142000, 'rating_average': 5, 'reviews_count': 25, 'seller_product_id': 45543136}, 'checksum': ''}, {'impression_id': '7866da82-3aca-4fad-a40f-fc387f3d9d20', 'metadata': {'product_id': 937, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1592/5900,0,1
5,129741417,2642110668416,Kem dưỡng da tay hương thơm thiên nhiên Jeju innisfree Jeju Life Perfumed Hand Cream 30ml,kem-duong-da-tay-huong-thom-thien-nhien-jeju-innisfree-jeju-life-perfumed-hand-cream-30ml-p129741417,kem-duong-da-tay-huong-thom-thien-nhien-jeju-innisfree-jeju-life-perfumed-hand-cream-30ml-p129741417.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.129741441&itm_medium=CPC&itm_source=tiki-reco&spid=129741441,,,,Innisfree,,93000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 18 ASA (4k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",6000,6,4.8,433,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/61/44/52/cf44ae0c790e37780423b0731fa6833c.png,280,280,[],False,,False,937,,,False,False,,,[],,,129741441,,,False,"{'text': 'Đã bán 2940', 'value': 2940}",,,99000,True,"[{'impression_id': 'thanos-product-jrYr1y4UXxhzMU9D', 'metadata': {'price': 93000, 'rating_average': 4.8, 'reviews_count': 433, 'seller_product_id': 129741441}, 'checksum': ''}, {'impression_id': '9b501a65-1ecd-48ef-a323-d6c462b0fd7c', 'metadata': {'product_id': 937, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1592/5900,0,1
6,8639764,7935128348346,Kem dưỡng ngăn ngừa nứt gót chân Kpem Cream for Carcks in the feet 50ml,kem-duong-ngan-ngua-nut-got-chan-kpem-cream-for-carcks-in-the-feet-50ml-p8639764,kem-duong-ngan-ngua-nut-got-chan-kpem-cream-for-carcks-in-the-feet-50ml-p8639764.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.108261981&itm_medium=CPC&itm_source=tiki-reco&spid=108261981,,,,Kpem,,80000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (433 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",18000,18,4.6,36,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/7d/5f/98/7c714938c13c33cc47ea58b0125be2dc.png,280,280,[],False,,False,937,,,False,False,,,[],,,108261981,,,False,"{'text': 'Đã bán 259', 'value': 259}",,,98000,True,"[{'impression_id': 'thanos-product-6YZNdDiNFoOj2KlH', 'metadata': {'price': 80000, 'rating_average': 4.6, 'reviews_count': 36, 'seller_product_id': 108261981}, 'checksum': ''}, {'impression_id': '858f6b65-0921-43d2-86a6-198d4154d74b', 'metadata': {'product_id': 937, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1592/5900,0,77388
7,5008167,9653109400441,Muối ngâm chân Sinh Dược 550gr - Muối thảo dược 100% từ thiên nhiên,muoi-ngam-chan-sinh-duoc-550gr-muoi-thao-duoc-100-tu-thien-nhien-p5008167,muoi-ngam-chan-sinh-duoc-550gr-muoi-thao-duoc-100-tu-thien-nhien-p5008167.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.5008169&itm_medium=CPC&itm_source=tiki-reco&spid=5008169,,,,Muối Ngâm Chân Thảo Dược Hợp Tác Xã Sinh Dược ,,120000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (650 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.6,92,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/5e/af/b1/33c11e3ca0d798b172722aed1f38a4a8.jpg,280,280,[],False,,False,937,,,False,False,,,[],,,5008169,,,False,"{'text': 'Đã bán 800', 'value': 800}",,,120000,True,"[{'impression_id': 'thanos-product-2z9wpbjL4amF0ak6', 'metadata': {'price': 120000, 'rating_average': 4.6, 'reviews_count': 92, 'seller_product_id': 5008169}, 'checksum': ''}, {'impression_id': 'ace358d2-5604-452f-9d30-eb882a6bd812', 'metadata': {'product_id': 937, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1592/5900,0,8844
8,173186866,4453015212040,Kem dưỡng nứt gót chân Twins tec 50ml,kem-duong-nut-got-chan-twinstec-50ml-p173186866,kem-duong-nut-got-chan-twinstec-50ml-p173186866.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.173186867&itm_medium=CPC&itm_source=tiki-reco&spid=173186867,,,,twins tec,,59000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 1 ASA (320 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",21000,26,4.7,15,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/03/bf/2f/92bda45c520cf176efaedb73bf0e4859.jpg,280,280,[],False,,False,937,,,False,False,,,[],,,173186867,,,False,"{'text': 'Đã bán 77', 'value': 77}",https://salt.tikicdn.com/ts/video/65/29/27/2fc87012fab28c0a6d18f53126707f07.mp4,,80000,True,"[{'impression_id': 'thanos-product-E17A3uexvgm0xawP', 'metadata': {'price': 59000, 'rating_average': 4.7, 'reviews_count': 15, 'seller_product_id': 173186867}, 'checksum': ''}, {'impression_id': '0bc432c8-e1e3-4f78-b20f-19b4f22a5652', 'metadata': {'product_id': 937, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1592/5900,0,216923
9,217642039,7106069376783,Kem Dưỡng Da Tay Và Móng Vaseline Deep Moisture Hand & Nail Cream 60ML( không có tem phụ- không xuất hóa đơn ),kem-duong-da-tay-va-mong-vaseline-deep-moisture-hand-nail-cream-60ml-p217642039,kem-duong-da-tay-va-mong-vaseline-deep-moisture-hand-nail-cream-60ml-p217642039.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.217642040&itm_medium=CPC&itm_source=tiki-reco&spid=217642040,,,,Vaseline,,43000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 1 ASA (233 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",2000,4,4.7,3,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/86/42/04/6a918dd205d237c65412bcecaec484ab.jpg,280,280,[],False,,False,937,,,False,False,,,[],,,217642040,,,False,"{'text': 'Đã bán 18', 'value': 18}",,,45000,True,"[{'impression_id': 'thanos-product-Y8hlNRA1IEruCnq3', 'metadata': {'price': 43000, 'rating_average': 4.7, 'reviews_count': 3, 'seller_product_id': 217642040}, 'checksum': ''}, {'impression_id': '0c3736ce-15e4-4b7d-a4a3-cadd35cada5f', 'metadata': {'product_id': 937, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1592/5900,0,3837
