,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,video_url,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id
0,208589487,9371917924613,Kính Mát Phân Cực Xiaomi Mijia Phi Công Chống Tia Pilota  UV400 Cho Nam Nữ,kinh-mat-unisex-chong-tia-uv-xiaomi-pilota-p208589487,kinh-mat-unisex-chong-tia-uv-xiaomi-pilota-p208589487.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.208589491&itm_medium=CPC&itm_source=tiki-reco&spid=208589491,,,,Xiaomi,,590000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Hàng quốc tế', 'type': 'delivery_info_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 15 ASA (3k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",209000,26,5.0,2,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/39/65/48/3dee314b41ba031e90bce9e6d3550a52.jpg,280,280,[],False,,False,49,,,False,False,,,[],,,208589491,,,False,"{'text': 'Đã bán 5', 'value': 5}",https://salt.tikicdn.com/ts/video/6e/a0/0a/d6830511bbbcf1fd3de909775bd311b9.mp4,,799000,True,"[{'impression_id': 'thanos-product-SmAZWssHSrIdrVaO', 'metadata': {'price': 590000, 'rating_average': 5, 'reviews_count': 2, 'seller_product_id': 208589491}, 'checksum': ''}, {'impression_id': '5b9bef5b-1e24-4355-81e2-7a4168cd70df', 'metadata': {'product_id': 49, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/17166/21442/21444/21460,0,230617
1,205523419,1168806481742,Giày Thể Thao Xiaomi Mijia Siêu Nhẹ Thoáng Khí Năng Động,giay-the-thao-xiaomi-mijia-sieu-nhe-thoang-khi-nang-dong-p205523419,giay-the-thao-xiaomi-mijia-sieu-nhe-thoang-khi-nang-dong-p205523419.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.205523437&itm_medium=CPC&itm_source=tiki-reco&spid=205523437,,,,Xiaomi,,720000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Hàng quốc tế', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 18 ASA (4k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",209000,22,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/e4/af/9a/b037c25a82654bbe6bf47cf5e47b4853.jpg,280,280,[],False,,False,482,,,False,False,,,[],,,205523437,,,False,"{'text': 'Đã bán 2', 'value': 2}",,,929000,True,"[{'impression_id': 'thanos-product-poGL0ZReGAqEUw3T', 'metadata': {'price': 720000, 'rating_average': 5, 'reviews_count': 1, 'seller_product_id': 205523437}, 'checksum': ''}, {'impression_id': '8c7ce25f-9968-4085-bdfa-fc18d333e5ae', 'metadata': {'product_id': 482, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/17166/21442/21444/21446,0,230617
2,122692405,6523416075005,1Pc 3.7*110-130Cm Nam Khóa Cổ Điển Thắt Lưng Chống Trộm Ví Da Bò Dây có Dây Kéo Để Che Giấu Tiền Viền Quà Tặng Doanh Nghiệp - 110 CM,1pc-3-7-110-130cm-nam-khoa-co-dien-that-lung-chong-trom-vi-da-bo-day-co-day-keo-de-che-giau-tien-vien-qua-tang-doanh-nghiep-p122692405,1pc-3-7-110-130cm-nam-khoa-co-dien-that-lung-chong-trom-vi-da-bo-day-co-day-keo-de-che-giau-tien-vien-qua-tang-doanh-nghiep-p122692405.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.122692407&itm_medium=CPC&itm_source=tiki-reco&spid=122692407,,,,OEM,,769902,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Hàng quốc tế', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 19 ASA (4k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,3.5,2,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/fd/91/6f/d65315a7b1578c19222d41a9f3b319d8.jpg,280,280,[],False,,False,51,,,False,False,,,[],,,122692407,,,False,"{'text': 'Đã bán 2', 'value': 2}",,,769902,True,"[{'impression_id': 'thanos-product-fg4FK4V8kCG8enaT', 'metadata': {'price': 769902, 'rating_average': 3.5, 'reviews_count': 2, 'seller_product_id': 122692407}, 'checksum': ''}, {'impression_id': '7e2b8812-4e99-4383-94e3-5bafa3051f84', 'metadata': {'product_id': 51, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/17166/21442/21444/21448,0,216397
3,46352830,5217971313458,3 Bông Khăn Tay Nhỏ Các Mô Sọc Ca Rô Vuông Đơn Giản,3-bong-khan-tay-nho-cac-mo-soc-ca-ro-vuong-don-gian-p46352830,3-bong-khan-tay-nho-cac-mo-soc-ca-ro-vuong-don-gian-p46352830.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.46352832&itm_medium=CPC&itm_source=tiki-reco&spid=46352832,,,,OEM,,88000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Hàng quốc tế', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (477 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/4b/c2/fa/445fe1da6f83aa6402bed91ca64a3a41.jpg,280,280,[],False,,False,51,,,False,False,,,[],,,46352832,,,False,"{'text': 'Đã bán 1', 'value': 1}",,,88000,True,"[{'impression_id': 'thanos-product-uhJjZ1Rlfq7AHo5b', 'metadata': {'price': 88000, 'rating_average': 4, 'reviews_count': 1, 'seller_product_id': 46352832}, 'checksum': ''}, {'impression_id': 'ec30b60f-0dc1-4c18-a860-672dd5afc78d', 'metadata': {'product_id': 51, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/17166/21442/21444/21448,0,96293
4,116436217,3843073498441,2x5Pack Men's Plaid Pattern Cotton Handkerchiefs Classic Pocket Square Hanky,2x5pack-men-s-plaid-pattern-cotton-handkerchiefs-classic-pocket-square-hanky-p116436217,2x5pack-men-s-plaid-pattern-cotton-handkerchiefs-classic-pocket-square-hanky-p116436217.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.116436250&itm_medium=CPC&itm_source=tiki-reco&spid=116436250,,,,OEM,,147000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Hàng quốc tế', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 4 ASA (796 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/6b/16/b6/e779f206f065749e270c2aa6b7749fe8.jpg,280,280,[],False,,False,51,,,False,False,,,[],,,116436250,,,False,"{'text': 'Đã bán 1', 'value': 1}",,,147000,True,"[{'impression_id': 'thanos-product-RdZP3zMVorKaHOP1', 'metadata': {'price': 147000, 'rating_average': 4, 'reviews_count': 1, 'seller_product_id': 116436250}, 'checksum': ''}, {'impression_id': 'a3ecc977-68f9-4798-a878-4c980bbe4f5d', 'metadata': {'product_id': 51, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/17166/21442/21444/21448,0,103548
5,176772638,6300610877331,Fashion Brass Rose Flower Cufflinks French Shirt Men Party Jewelry Red,fashion-brass-rose-flower-cufflinks-french-shirt-men-party-jewelry-red-p176772638,fashion-brass-rose-flower-cufflinks-french-shirt-men-party-jewelry-red-p176772638.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.176772642&itm_medium=CPC&itm_source=tiki-reco&spid=176772642,,,,OEM,,94000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Hàng quốc tế', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (509 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/87/05/7e/1e3e90f1f45c2a243e43485f33569bf6.jpg,280,280,[],False,,False,51,,,False,False,,,[],,,176772642,,,False,"{'text': 'Đã bán 1', 'value': 1}",,,94000,True,"[{'impression_id': 'thanos-product-k3Cvp8Vb0mnI7bst', 'metadata': {'price': 94000, 'rating_average': 5, 'reviews_count': 1, 'seller_product_id': 176772642}, 'checksum': ''}, {'impression_id': '7be095a8-a847-40b3-9495-c04e169b7d07', 'metadata': {'product_id': 51, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/17166/21442/21444/21448,0,103548
6,76389139,5906807057696,Stainless Steel Metal Money Clip Pocket Wallet Minimalist Wallet Slim Wallet Credit Business Card Holder,stainless-steel-metal-money-clip-pocket-wallet-minimalist-wallet-slim-wallet-credit-business-card-holder-p76389139,stainless-steel-metal-money-clip-pocket-wallet-minimalist-wallet-slim-wallet-credit-business-card-holder-p76389139.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.76389140&itm_medium=CPC&itm_source=tiki-reco&spid=76389140,,,,OEM,,125000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Hàng quốc tế', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (677 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,3.7,3,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/7f/a3/67/22d9949b2798cf9c1946266720f764fe.jpg,280,280,[],False,,False,46,,,False,False,,,[],,,76389140,,,False,"{'text': 'Đã bán 15', 'value': 15}",,,125000,True,"[{'impression_id': 'thanos-product-HG1BjG6iiOOz9OyH', 'metadata': {'price': 125000, 'rating_average': 3.7, 'reviews_count': 3, 'seller_product_id': 76389140}, 'checksum': ''}, {'impression_id': 'b491cd26-9d95-4a21-9fa1-e0015d99fab0', 'metadata': {'product_id': 46, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/17166/21442/21444/21456,0,96293
7,40951759,1729613774663,Đồng Hồ Đeo Tay Cho Nam Michael Kors Lexington Men'S Chronograph Wrist Watch - Tông Vàng/Mặt Số Đen,dong-ho-deo-tay-cho-nam-michael-kors-lexington-men-s-chronograph-wrist-watch-p40951759,dong-ho-deo-tay-cho-nam-michael-kors-lexington-men-s-chronograph-wrist-watch-p40951759.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.40951762&itm_medium=CPC&itm_source=tiki-reco&spid=40951762,,,,Michael Kors,,4535000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Hàng quốc tế', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 113 ASA (25k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/46/16/ef/28b019422e13aec89de417dc616b5589.jpg,280,280,[],False,,False,663,,,False,False,,,[],,,40951762,,,False,"{'text': 'Đã bán 1', 'value': 1}",,,4535000,True,"[{'impression_id': 'thanos-product-QGSTixTfunPBbz40', 'metadata': {'price': 4535000, 'rating_average': 5, 'reviews_count': 1, 'seller_product_id': 40951762}, 'checksum': ''}, {'impression_id': '6aed3f11-86f1-48e2-8905-f37c44a7f198', 'metadata': {'product_id': 663, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/17166/21442/21444/21458,0,86037
8,108780908,5894345025068,Đồng hồ nam Curren dành cho doanh nhân chống nước đa năng-Màu Đen & Đen & Nâu đậm,dong-ho-nam-curren-danh-cho-doanh-nhan-chong-nuoc-da-nang-p108780908,dong-ho-nam-curren-danh-cho-doanh-nhan-chong-nuoc-da-nang-p108780908.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.108780928&itm_medium=CPC&itm_source=tiki-reco&spid=108780928,,,,CURREN ,,337500,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Hàng quốc tế', 'type': 'delivery_info_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 8 ASA (2k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",37500,10,5.0,3,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/d5/10/15/0f266def1c6de3524a4f13ed2954bf77.jpg,280,280,[],False,,False,663,,,False,False,,,[],,,108780928,,,False,"{'text': 'Đã bán 6', 'value': 6}",https://salt.tikicdn.com/ts/video/e5/cb/f4/f85f67ad4f910b93fb5eac1bf1165585.mp4,,375000,True,"[{'impression_id': 'thanos-product-CJusHXHbSFj4fvI9', 'metadata': {'price': 337500, 'rating_average': 5, 'reviews_count': 3, 'seller_product_id': 108780928}, 'checksum': ''}, {'impression_id': '6480e8e3-2f8d-42d4-a81e-a71e8621164b', 'metadata': {'product_id': 663, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/17166/21442/21444/21458,0,184562
9,123360524,9999573045699,Mắt Kính Nhìn Xuyên Đêm Tuyển Tập Nam Kính Mát Phân Cực Lái Xe Ban Đêm Kính Lái Xe Kính Mắt Đi Đường Ban Đêm - one,mat-kinh-nhin-xuyen-dem-tuyen-tap-nam-kinh-mat-phan-cuc-lai-xe-ban-dem-kinh-lai-xe-kinh-mat-di-duong-ban-dem-p123360524,mat-kinh-nhin-xuyen-dem-tuyen-tap-nam-kinh-mat-phan-cuc-lai-xe-ban-dem-kinh-lai-xe-kinh-mat-di-duong-ban-dem-p123360524.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.123360530&itm_medium=CPC&itm_source=tiki-reco&spid=123360530,,,,OEM,,530817,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Hàng quốc tế', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 13 ASA (3k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/14/be/2b/0f636c34e139b72f85be0dabc5b77e9b.jpg,280,280,[],False,,False,49,,,False,False,,,[],,,123360530,,,False,"{'text': 'Đã bán 2', 'value': 2}",,,530817,True,"[{'impression_id': 'thanos-product-rzbAdmPqb7lZbun0', 'metadata': {'price': 530817, 'rating_average': 4, 'reviews_count': 1, 'seller_product_id': 123360530}, 'checksum': ''}, {'impression_id': 'df787a53-92e2-4996-a955-73920da6483a', 'metadata': {'product_id': 49, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/17166/21442/21444/21460,0,216403
