,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,video_url,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id
0,247794543,1386147987724,"Viên Ngậm Hotexcol Hỗ Trợ Thanh Họng, Giảm Ho, Giảm Đau Rát Họng Hộp 4 Vỉ x 4 Viên",vien-ngam-hotexcol-ho-tro-thanh-hong-giam-ho-giam-dau-rat-hong-hop-4-vi-x-4-vien-p247794543,vien-ngam-hotexcol-ho-tro-thanh-hong-giam-ho-giam-dau-rat-hong-hop-4-vi-x-4-vien-p247794543.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.247794544&itm_medium=CPC&itm_source=tiki-reco&spid=247794544,,,,Dân Khang,,50000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 1 ASA (271 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",25000,33,5.0,27,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/08/d2/9e/1010aeee370e7c95b0dc0291b61c2220.png,280,280,[],False,,False,1293,,,False,False,,,[],,,247794544,,,False,"{'text': 'Đã bán 34', 'value': 34}",,,75000,True,"[{'impression_id': 'thanos-product-wq2tBJb85EEnSkJV', 'metadata': {'price': 50000, 'rating_average': 5, 'reviews_count': 27, 'seller_product_id': 247794544}, 'checksum': ''}, {'impression_id': '192918b9-bfab-4368-99e5-6d93b832b443', 'metadata': {'product_id': 1293, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/2322/2825/11873,0,1178
1,10278713,1528760267840,Thực Phẩm Bảo Vệ Sức Khỏe Giúp Da Sáng Đẹp Và Dạ Dày Khỏe Blossomy Hộp 10 chai x 50ml,thuc-pham-bao-ve-suc-khoe-giup-da-sang-dep-va-da-day-khoe-blossomy-hop-10-chai-x-50ml-p10278713,thuc-pham-bao-ve-suc-khoe-giup-da-sang-dep-va-da-day-khoe-blossomy-hop-10-chai-x-50ml-p10278713.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.10862760&itm_medium=CPC&itm_source=tiki-reco&spid=10862760,,,,Blossomy,,428000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 84 ASA (18k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",87000,17,4.7,1095,0,0,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/bd/20/f2/eeb47b522a10ebaccb70cf58d528dc81.jpg,280,280,[],False,,False,1301,,,False,False,,,[],,,10862760,,,False,"{'text': 'Đã bán 5000+', 'value': 11064}",,,515000,True,"[{'impression_id': 'thanos-product-KrQ3YdbLqsHMRrbh', 'metadata': {'price': 428000, 'rating_average': 4.7, 'reviews_count': 1095, 'seller_product_id': 10862760}, 'checksum': ''}, {'impression_id': '7c3a66ba-33b5-43b8-a053-f19ab0e4a1af', 'metadata': {'product_id': 1301, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/2322/2825/11881,0,1
2,51661295,3586765494782,"Vitamin k2 d3 Lineabon từ Châu Âu chứa MK7 giúp hấp thụ calci – Hỗ trợ hấp thu canxi tự nhiên cho trẻ, giúp tăng chiều cao, hết còi xương - Hết ngay khóc đêm, trằn trọc, mồ hôi trộn",vitamin-ho-tro-chong-coi-xuong-tang-chieu-cao-cho-tre-so-sinh-va-tre-nho-lineabon-k2-d3-p51661295,vitamin-ho-tro-chong-coi-xuong-tang-chieu-cao-cho-tre-so-sinh-va-tre-nho-lineabon-k2-d3-p51661295.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.98103897&itm_medium=CPC&itm_source=tiki-reco&spid=98103897,,,,LINEABON,,295000,0,[],"[{'code': 'freegift_items', 'placement': 'under_rating', 'text': 'Quà tặng', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 58 ASA (13k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",74000,20,5.0,197,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/06/7e/db/5c2a8550d8dcbed887ec33ea55fecc91.png,280,280,[],False,,False,1275,,,False,False,,,[],,,98103897,,,False,"{'text': 'Đã bán 646', 'value': 646}",,,369000,True,"[{'impression_id': 'thanos-product-hiGnwO9OWdJop1tE', 'metadata': {'price': 295000, 'rating_average': 5, 'reviews_count': 197, 'seller_product_id': 98103897}, 'checksum': ''}, {'impression_id': '91766ecd-ea99-4ddc-bbef-706d3602969a', 'metadata': {'product_id': 1275, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/2322/2825/11857,0,49020
3,249144672,1710193406326,Viên Uống Bổ Phổi DK3 Giảm Ho Đau Rát Họng Viêm Phế Quản Hộp 30 Viên,vien-uong-bo-phoi-dk3-giam-ho-dau-rat-hong-viem-phe-quan-hop-30-vien-p249144672,vien-uong-bo-phoi-dk3-giam-ho-dau-rat-hong-viem-phe-quan-hop-30-vien-p249144672.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.249144673&itm_medium=CPC&itm_source=tiki-reco&spid=249144673,,,,Dân Khang,,120000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (650 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,17,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/81/16/df/c99f6c5e7629a72e69974413b44e6a88.png,280,280,[],False,,False,1293,,,False,False,,,[],,,249144673,,,False,"{'text': 'Đã bán 21', 'value': 21}",,,120000,True,"[{'impression_id': 'thanos-product-T8UXsvPfHicdbXsb', 'metadata': {'price': 120000, 'rating_average': 5, 'reviews_count': 17, 'seller_product_id': 249144673}, 'checksum': ''}, {'impression_id': '2b671c71-0c27-4865-bb12-eca11aa3ccb9', 'metadata': {'product_id': 1293, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/2322/2825/11873,0,1178
4,249082228,3510056359780,Cốm Sủi Thanh Nhiệt DK Cool Hỗ Trợ Thanh Nhiệt - Hộp 10 gói x 7g,com-sui-thanh-nhiet-dk-cool-ho-tro-thanh-nhiet-hop-10-goi-x-7g-p249082228,com-sui-thanh-nhiet-dk-cool-ho-tro-thanh-nhiet-hop-10-goi-x-7g-p249082228.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.249082234&itm_medium=CPC&itm_source=tiki-reco&spid=249082234,,,,Dân Khang,,50000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 1 ASA (271 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",15000,23,5.0,33,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/41/2c/c5/cae07af9d149cfc843fc69f51726cf60.png,280,280,[],False,,False,1275,,,False,False,,,[],,,249082234,,,False,"{'text': 'Đã bán 33', 'value': 33}",,,65000,True,"[{'impression_id': 'thanos-product-XWr1S3P0MwiRxnxi', 'metadata': {'price': 50000, 'rating_average': 5, 'reviews_count': 33, 'seller_product_id': 249082234}, 'checksum': ''}, {'impression_id': '46df8381-7a98-42fd-98c6-42bc906ff4bd', 'metadata': {'product_id': 1275, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/2322/2825/11857,0,1178
5,249083678,1934185543295,Hộp 20 Ống Uống DK - Bio GOLD Hỗ Trợ Bổ Sung Lợi Khuẩn Đường Ruột,hop-20-ong-uong-dk-bio-gold-ho-tro-bo-sung-loi-khuan-duong-ruot-p249083678,hop-20-ong-uong-dk-bio-gold-ho-tro-bo-sung-loi-khuan-duong-ruot-p249083678.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.249083679&itm_medium=CPC&itm_source=tiki-reco&spid=249083679,,,,Dân Khang,,180000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'freegift_items', 'placement': 'under_rating', 'text': 'Quà tặng', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 5 ASA (975 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",55000,23,5.0,15,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/9f/80/fe/4938afd192e65fb45a82e065f420c32a.png,280,280,[],False,,False,1289,,,False,False,,,[],,,249083679,,,False,"{'text': 'Đã bán 15', 'value': 15}",,,235000,True,"[{'impression_id': 'thanos-product-QJyh6xDpBXc0kIG4', 'metadata': {'price': 180000, 'rating_average': 5, 'reviews_count': 15, 'seller_product_id': 249083679}, 'checksum': ''}, {'impression_id': '4a788c3f-3373-4c99-8701-a81db29638db', 'metadata': {'product_id': 1289, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/2322/2825/11869,0,1178
6,7255881,9983546315078,Thực phẩm chức năng Tảo xoắn Spirulina nội địa Nhật Bản 2200 viên,thuc-pham-chuc-nang-tao-xoan-spirulina-noi-dia-nhat-ban-2200-vien-p7255881,thuc-pham-chuc-nang-tao-xoan-spirulina-noi-dia-nhat-ban-2200-vien-p7255881.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.44619854&itm_medium=CPC&itm_source=tiki-reco&spid=44619854,,,,Spirulina System,,364000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 9 ASA (2k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",89600,20,4.8,501,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/56/3c/98/46a39ac5143c0c8f1e8a4a9a37c01628.png,280,280,[],False,,False,1275,,,False,False,,,[],,,44619854,,,False,"{'text': 'Đã bán 2973', 'value': 2973}",,,453600,True,"[{'impression_id': 'thanos-product-YDRYvmO2WjB8wT8t', 'metadata': {'price': 364000, 'rating_average': 4.8, 'reviews_count': 501, 'seller_product_id': 44619854}, 'checksum': ''}, {'impression_id': '55a12f9a-f0b3-4799-babf-b1800d5947d7', 'metadata': {'product_id': 1275, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/2322/2825/11857,0,1
7,249026626,2263543385597,Hộp 30 viên Uống Ăn Ngủ Ngon Dân Khang Giúp Cải Thiện Các Biểu Hiện Lo Âu & Căng Thẳng,hop-30-vien-uong-an-ngu-ngon-dan-khang-giup-cai-thien-cac-bieu-hien-lo-au-cang-thang-p249026626,hop-30-vien-uong-an-ngu-ngon-dan-khang-giup-cai-thien-cac-bieu-hien-lo-au-cang-thang-p249026626.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.249026627&itm_medium=CPC&itm_source=tiki-reco&spid=249026627,,,,Dân Khang,,108000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (585 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",47000,30,5.0,15,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ac/37/37/c34df7c3befb2ff2029f2d00a7dfc3e8.png,280,280,[],False,,False,1297,,,False,False,,,[],,,249026627,,,False,"{'text': 'Đã bán 15', 'value': 15}",,,155000,True,"[{'impression_id': 'thanos-product-iiAUnE2oIyB4YGw7', 'metadata': {'price': 108000, 'rating_average': 5, 'reviews_count': 15, 'seller_product_id': 249026627}, 'checksum': ''}, {'impression_id': 'aa8932be-ad97-4c73-a1c3-6c40eaefe6ac', 'metadata': {'product_id': 1297, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/2322/2825/11877,0,1178
8,50308042,6424768485661,Goodhealth Oyster Plus Tinh Chất Hàu 60 Viên - Tăng Cường Sinh Lý - Cải Thiện Chất Lượng Tinh Trùng - Hàng Chính Hãng New Zealand,goodhealth-oyster-plus-tinh-chat-hau-60-vien-tang-cuong-sinh-ly-cai-thien-chat-luong-tinh-trung-hang-chinh-hang-new-zealand-p50308042,goodhealth-oyster-plus-tinh-chat-hau-60-vien-tang-cuong-sinh-ly-cai-thien-chat-luong-tinh-trung-hang-chinh-hang-new-zealand-p50308042.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.124089540&itm_medium=CPC&itm_source=tiki-reco&spid=124089540,,,,Goodhealth,,405000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 10 ASA (2k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",94000,19,4.8,192,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/43/7f/9d/d59be1a0ce98256c5eda5fe8c0a56dd1.png,280,280,[],False,,False,1299,,,False,False,,,[],,,124089540,,,False,"{'text': 'Đã bán 775', 'value': 775}",https://salt.tikicdn.com/ts/video/7d/3c/ce/d341968c3415a88dac869b84bd2bcca9.mp4,,499000,True,"[{'impression_id': 'thanos-product-AxDayecjKtmYqUiD', 'metadata': {'price': 405000, 'rating_average': 4.8, 'reviews_count': 192, 'seller_product_id': 124089540}, 'checksum': ''}, {'impression_id': '44c26c82-0b15-4625-a516-fbb3bd10c9c6', 'metadata': {'product_id': 1299, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/2322/2825/11879,0,189723
9,173469753,4753011039933,"Combo 2 hộp JEX giảm đau, bảo vệ xương khớp 60 viên tặng 1 hộp 15 viên",combo-2-chai-60-vien-tang-chai-15-vien-vien-uong-jex-giam-dau-bao-ve-xuong-khop-voi-eggshell-membrane-collagen-peptide-collagen-type-ii-khong-bien-tinh-p173469753,combo-2-chai-60-vien-tang-chai-15-vien-vien-uong-jex-giam-dau-bao-ve-xuong-khop-voi-eggshell-membrane-collagen-peptide-collagen-type-ii-khong-bien-tinh-p173469753.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.173469754&itm_medium=CPC&itm_source=tiki-reco&spid=173469754,,,,JEX,,1260000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 32 ASA (7k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",180000,13,5.0,71,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/8b/0e/a1/5644137a1a488af68a8f65a53d70cf37.png,280,280,[],False,,False,1277,,,False,False,,,[],,,173469754,,,False,"{'text': 'Đã bán 406', 'value': 406}",,,1440000,True,"[{'impression_id': 'thanos-product-DyzcIWhGVSKglVH0', 'metadata': {'price': 1260000, 'rating_average': 5, 'reviews_count': 71, 'seller_product_id': 173469754}, 'checksum': ''}, {'impression_id': 'd474f58a-c1a4-4c18-8d95-9614c8ccab04', 'metadata': {'product_id': 1277, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/2322/2825/11859,0,211769
