,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,video_url,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id
0,54031205,4480915346954,Mì Goreng Vị Đặc Biệt Indomie (85G X 40 Gói/Thùng),mi-goreng-vi-dac-biet-indomie-80g-x-40-goi-thung-p54031205,mi-goreng-vi-dac-biet-indomie-80g-x-40-goi-thung-p54031205.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.54031206&itm_medium=CPC&itm_source=tiki-reco&spid=54031206,,,,Indomie,,209000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 2, ngày 19/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 5 ASA (1k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",314000,60,4.8,1506,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/7d/f7/2f/aca98551ad6ab5218aed62dc2523399b.jpg,280,280,[],False,,False,2795,,,False,False,,,[],,,54031206,,,False,"{'text': 'Đã bán 5000+', 'value': 8104}",,,523000,True,"[{'impression_id': 'thanos-product-xuvaCYpqtclUSSsD', 'metadata': {'price': 209000, 'rating_average': 4.8, 'reviews_count': 1506, 'seller_product_id': 54031206}, 'checksum': ''}, {'impression_id': 'e6a944fc-7258-476b-9c59-462f1190d5d0', 'metadata': {'product_id': 2795, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/4384/15074/4393/4420,0,1
1,2923763,2994904527177,Gạo Thơm Lài Lotus Rice 5kg - Cơm mềm dẻo vừa - Chuẩn xuất khẩu,gao-thom-lai-lotus-rice-5kg-p2923763,gao-thom-lai-lotus-rice-5kg-p2923763.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.2923765&itm_medium=CPC&itm_source=tiki-reco&spid=2923765,,,,Lotus Rice,,135000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 26 ASA (6k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.8,671,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/23/65/2a/b15a203a72090e12a6601513c04489c4.jpg,280,280,[],False,,False,2871,,,False,False,,,[],,,2923765,,,False,"{'text': 'Đã bán 5000+', 'value': 5626}",https://salt.tikicdn.com/ts/video/1d/95/4e/147bbca9527ca0613ae86da03d971d4f.mp4,,135000,True,"[{'impression_id': 'thanos-product-6KOk0nGxbKyweZ0m', 'metadata': {'price': 135000, 'rating_average': 4.8, 'reviews_count': 671, 'seller_product_id': 2923765}, 'checksum': ''}, {'impression_id': '69a4d7e5-06e4-47b2-9e1d-d6426684ef2c', 'metadata': {'product_id': 2871, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/4384/15074/4393/8292,0,6224
2,192886296,7895166769035,Thùng 30 gói mì Hảo Hảo Tôm Chua Cay 75g,thung-30-goi-mi-hao-hao-tom-chua-cay-75g-p192886296,thung-30-goi-mi-hao-hao-tom-chua-cay-75g-p192886296.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.192886298&itm_medium=CPC&itm_source=tiki-reco&spid=192886298,,,,Acecook,,130000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (704 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",26000,17,4.8,41,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/5a/8b/be/4b2c107c70bebd713a0d0f0da1af6ff2.jpg,280,280,[],False,,False,2795,,,False,False,,,[],,,192886298,,,False,"{'text': 'Đã bán 649', 'value': 649}",,,156000,True,"[{'impression_id': 'thanos-product-QFI8ZXpBj9A7e1LP', 'metadata': {'price': 130000, 'rating_average': 4.8, 'reviews_count': 41, 'seller_product_id': 192886298}, 'checksum': ''}, {'impression_id': 'b085eeb3-57fd-4f8b-b505-b69ab5005810', 'metadata': {'product_id': 2795, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/4384/15074/4393/4420,0,1
3,22597852,2839664360858,1kg Khô gà lá chanh thượng hạng hiệu TETE,combo-2-kho-ga-la-chanh-cay-cay-gion-ngon-tete-500g-hop-p22597852,combo-2-kho-ga-la-chanh-cay-cay-gion-ngon-tete-500g-hop-p22597852.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.22597853&itm_medium=CPC&itm_source=tiki-reco&spid=22597853,,,,TETE,,142000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 4 ASA (769 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.5,2190,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/b2/87/7b/854c0f47ae0732dcfabaacfe927d00d2.jpg,280,280,[],False,,False,2795,,,False,False,,,[],,,22597853,,,False,"{'text': 'Đã bán 5000+', 'value': 12296}",https://salt.tikicdn.com/ts/video/d1/5d/a5/e74ede1fe98979fcf4d243ef79b9fbcb.mp4,,142000,True,"[{'impression_id': 'thanos-product-SIOId31JPJT0XLMJ', 'metadata': {'price': 142000, 'rating_average': 4.5, 'reviews_count': 2190, 'seller_product_id': 22597853}, 'checksum': ''}, {'impression_id': '0762d745-7f03-4043-b668-17e0569143fc', 'metadata': {'product_id': 2795, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/4384/15074/4393/4420,0,11780
4,176292290,8147036645952,Canh rong biển thịt gà ăn liền I-Soup 42g (túi 06 viên cho 06 khẩu phần ăn)-Canh sấy lạnh công nghệ Nhật Bản,canh-rong-bien-thit-ga-an-lien-i-soup-42g-tui-06-vien-cho-06-khau-phan-an-canh-say-lanh-cong-nghe-nhat-ban-p176292290,canh-rong-bien-thit-ga-an-lien-i-soup-42g-tui-06-vien-cho-06-khau-phan-an-canh-say-lanh-cong-nghe-nhat-ban-p176292290.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.176292292&itm_medium=CPC&itm_source=tiki-reco&spid=176292292,,,,I-Soup,,65000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (352 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.7,39,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/2a/5a/3c/ef9856d113160a438489a0912d7de770.jpg,280,280,[],False,,False,2795,,,False,False,,,[],,,176292292,,,False,"{'text': 'Đã bán 423', 'value': 423}",https://salt.tikicdn.com/ts/video/3c/c2/c1/5987e786aeef3e9c367a78b37f4ee01d.mp4,,65000,True,"[{'impression_id': 'thanos-product-r6N9O27ghQRpxh2w', 'metadata': {'price': 65000, 'rating_average': 4.7, 'reviews_count': 39, 'seller_product_id': 176292292}, 'checksum': ''}, {'impression_id': 'b0029f75-0241-4e83-8c53-678ebed3d666', 'metadata': {'product_id': 2795, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/4384/15074/4393/4420,0,6413
5,138101958,9913431126958,"Combo 2 Sản Phẩm Gạo  ST25 Túi 5Kg - Gạo Ông Cua, Đặc Sản Sóc Trăng",combo-2-san-pham-gao-st25-tui-5kg-gao-ong-cua-dac-san-soc-trang-p138101958,combo-2-san-pham-gao-st25-tui-5kg-gao-ong-cua-dac-san-soc-trang-p138101958.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.138101959&itm_medium=CPC&itm_source=tiki-reco&spid=138101959,,,,Gạo Ông Cua,,357000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 9 ASA (2k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.8,77,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/d6/fc/6a/a5f34743ce462f4ab3eac6aa718dfd8e.jpg,280,280,[],False,,False,2871,,,False,False,,,[],,,138101959,,,False,"{'text': 'Đã bán 854', 'value': 854}",,,357000,True,"[{'impression_id': 'thanos-product-03ywsTMoyQ4DVpaN', 'metadata': {'price': 357000, 'rating_average': 4.8, 'reviews_count': 77, 'seller_product_id': 138101959}, 'checksum': ''}, {'impression_id': '42fc5e01-d40b-48ab-b395-dcd20fb229d2', 'metadata': {'product_id': 2871, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/4384/15074/4393/8292,0,10338
6,176292291,2920249558662,Canh kim chi thịt gà ăn liền I-Soup 66g (túi 06 viên cho 06 khẩu phần ăn)-Canh sấy lạnh công nghệ Nhật Bản,canh-kim-chi-thit-ga-an-lien-i-soup-66g-tui-06-vien-cho-06-khau-phan-an-canh-say-lanh-cong-nghe-nhat-ban-p176292291,canh-kim-chi-thit-ga-an-lien-i-soup-66g-tui-06-vien-cho-06-khau-phan-an-canh-say-lanh-cong-nghe-nhat-ban-p176292291.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.176292293&itm_medium=CPC&itm_source=tiki-reco&spid=176292293,,,,I-Soup,,65000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (352 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.6,37,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/c9/2d/43/f7ab0e6d29c67c46ee67bc7b4a7f236a.jpg,280,280,[],False,,False,2795,,,False,False,,,[],,,176292293,,,False,"{'text': 'Đã bán 342', 'value': 342}",https://salt.tikicdn.com/ts/video/3c/c2/c1/d6386afc667485e3dda0ad2910cb2656.mp4,,65000,True,"[{'impression_id': 'thanos-product-aDByIHIw4jh0FzRB', 'metadata': {'price': 65000, 'rating_average': 4.6, 'reviews_count': 37, 'seller_product_id': 176292293}, 'checksum': ''}, {'impression_id': 'd3c38b9a-5f74-4ba9-8bf5-8c434a61a8a9', 'metadata': {'product_id': 2795, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/4384/15074/4393/4420,0,6413
7,176292294,8479209172886,Canh cải xoong nấu thịt ăn liền I-Soup 42g (túi 06 viên cho 06 khẩu phần ăn)-Công nghệ Nhật Bản,canh-cai-xoong-nau-thit-an-lien-i-soup-42g-tui-06-vien-cho-06-khau-phan-an-canh-say-lanh-cong-nghe-nhat-ban-p176292294,canh-cai-xoong-nau-thit-an-lien-i-soup-42g-tui-06-vien-cho-06-khau-phan-an-canh-say-lanh-cong-nghe-nhat-ban-p176292294.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.176292295&itm_medium=CPC&itm_source=tiki-reco&spid=176292295,,,,I-Soup,,65000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (352 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.8,43,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/a9/b2/f2/0e1eaac610fec5bdd36af984a5445762.jpg,280,280,[],False,,False,2795,,,False,False,,,[],,,176292295,,,False,"{'text': 'Đã bán 612', 'value': 612}",https://salt.tikicdn.com/ts/video/3c/c2/c1/c47b4b0318edf5cd9272bc37828dbfa3.mp4,,65000,True,"[{'impression_id': 'thanos-product-j15WM3BNvfbKMBfI', 'metadata': {'price': 65000, 'rating_average': 4.8, 'reviews_count': 43, 'seller_product_id': 176292295}, 'checksum': ''}, {'impression_id': '993b0382-878a-49e0-8d05-f8a01f211a28', 'metadata': {'product_id': 2795, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/4384/15074/4393/4420,0,6413
8,196199141,7762623038347,Canh Khoai Mỡ Chay I-Soup 55g (túi 05 viên)- Viên Súp Chay Sấy Thăng Hoa,canh-khoai-mo-chay-i-soup-55g-tui-05-vien-vien-sup-chay-say-thang-hoa-p196199141,canh-khoai-mo-chay-i-soup-55g-tui-05-vien-vien-sup-chay-say-thang-hoa-p196199141.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.196199142&itm_medium=CPC&itm_source=tiki-reco&spid=196199142,,,,I-Soup,,55000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 1 ASA (298 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.8,24,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/46/11/8c/3c99627ec1ba7045eca645abcaf901d8.jpg,280,280,[],False,,False,2795,,,False,False,,,[],,,196199142,,,False,"{'text': 'Đã bán 380', 'value': 380}",https://salt.tikicdn.com/ts/video/1f/d2/f3/790454c51d1e3d859bcfdf21f04b5d40.mp4,,55000,True,"[{'impression_id': 'thanos-product-FJoaDUlnnMdAgiZv', 'metadata': {'price': 55000, 'rating_average': 4.8, 'reviews_count': 24, 'seller_product_id': 196199142}, 'checksum': ''}, {'impression_id': 'a0f53cc6-e5c1-435f-adf3-9c06797b1a64', 'metadata': {'product_id': 2795, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/4384/15074/4393/4420,0,6413
9,245768524,6550799172789,"Granola siêu hạt 15% yến mạch TANU NUTS, ngũ cốc ăn kiêng giảm cân không đường tốt cho gym, yoga",granola-sieu-hat-15-yen-mach-tanu-nuts-ngu-coc-an-kieng-giam-can-khong-duong-tot-cho-gym-yoga-p245768524,granola-sieu-hat-15-yen-mach-tanu-nuts-ngu-coc-an-kieng-giam-can-khong-duong-tot-cho-gym-yoga-p245768524.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.245768526&itm_medium=CPC&itm_source=tiki-reco&spid=245768526,,,,Tanu Nuts,,149000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 4 ASA (807 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,11,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/9e/7f/eb/2086c20edbf929faba1cb283e976e71c.jpg,280,280,[],False,,False,2795,,,False,False,,,[],,,245768526,,,False,"{'text': 'Đã bán 56', 'value': 56}",,,149000,True,"[{'impression_id': 'thanos-product-pe53W62RvJ1Gbmpv', 'metadata': {'price': 149000, 'rating_average': 5, 'reviews_count': 11, 'seller_product_id': 245768526}, 'checksum': ''}, {'impression_id': 'f0a98561-9b67-4f1b-98f2-12a89763cfa1', 'metadata': {'product_id': 2795, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/4384/15074/4393/4420,0,134825
