,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,video_url,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id
0,159946692,4366630776449,Túi xách nữ công sở đựng laptop dáng đứng tote thời trang Yuumy YTX18,tui-xach-nu-cong-so-dang-dung-tote-yuumy-ytx18-p159946692,tui-xach-nu-cong-so-dang-dung-tote-yuumy-ytx18-p159946692.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.159946696&itm_medium=CPC&itm_source=tiki-reco&spid=159946696,,,,YUUMY,,229000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 6 ASA (1k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",291000,56,4.8,133,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/79/bb/65/097151efe6159d9a022ae79130ab395c.jpg,280,280,[],False,,False,1487,,,False,False,,,[],,,159946696,,,False,"{'text': 'Đã bán 455', 'value': 455}",https://salt.tikicdn.com/ts/video/da/f0/8b/127fcba5a9cc1055ae0d68ae1cac6153.mp4,,520000,True,"[{'impression_id': 'thanos-product-cAZcxV4LsWAjshrn', 'metadata': {'price': 229000, 'rating_average': 4.8, 'reviews_count': 133, 'seller_product_id': 159946696}, 'checksum': ''}, {'impression_id': '9946c2ca-70c6-44cc-8190-586d78258b7a', 'metadata': {'product_id': 1487, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/976/4560/49600,0,105
1,155287323,8761052623379,Túi xách nữ công sở cỡ lớn YUUMY YTX20,tui-xach-nu-cong-so-co-lon-yuumy-ytx20-p155287323,tui-xach-nu-cong-so-co-lon-yuumy-ytx20-p155287323.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.155786807&itm_medium=CPC&itm_source=tiki-reco&spid=155786807,,,,YUUMY,,229000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 6 ASA (1k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",291000,56,4.8,112,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ac/6d/21/60f9f4148caa1ba737ebbeac3ad1d041.jpg,280,280,[],False,,False,1487,,,False,False,,,[],,,155786807,,,False,"{'text': 'Đã bán 330', 'value': 330}",,,520000,True,"[{'impression_id': 'thanos-product-btnFdbtUPvlWorso', 'metadata': {'price': 229000, 'rating_average': 4.8, 'reviews_count': 112, 'seller_product_id': 155786807}, 'checksum': ''}, {'impression_id': 'ffde21f3-ae9d-43e5-996e-21da3adc5bc5', 'metadata': {'product_id': 1487, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/976/4560/49600,0,105
2,191418547,9347409846685,Túi cói phối quai da xách tay LATA TX11,tui-coi-phoi-quai-da-xach-tay-lata-tx11-p191418547,tui-coi-phoi-quai-da-xach-tay-lata-tx11-p191418547.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.191418548&itm_medium=CPC&itm_source=tiki-reco&spid=191418548,,,,Lata,,169000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 4 ASA (916 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",181000,52,4.5,18,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/d4/be/c0/56eb0b3267ab0a87d239f5a660e7a08d.jpg,280,280,[],False,,False,1487,,,False,False,,,[],,,191418548,,,False,"{'text': 'Đã bán 63', 'value': 63}",,,350000,True,"[{'impression_id': 'thanos-product-porYwdVyluJz8Wsy', 'metadata': {'price': 169000, 'rating_average': 4.5, 'reviews_count': 18, 'seller_product_id': 191418548}, 'checksum': ''}, {'impression_id': 'a231567d-897b-4323-afa4-a19ab5c319d7', 'metadata': {'product_id': 1487, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/976/4560/49600,0,105
3,202878752,8094201441511,Túi xách nữ công sở đựng laptop Yuumy Seasand YTX28,tui-xach-da-nu-phoi-charm-trang-tri-yuumy-seasand-ytx28-p202878752,tui-xach-da-nu-phoi-charm-trang-tri-yuumy-seasand-ytx28-p202878752.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.202878762&itm_medium=CPC&itm_source=tiki-reco&spid=202878762,,,,YUUMY,,249000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'freegift_items', 'placement': 'under_rating', 'text': 'Quà tặng', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 6 ASA (1k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",331000,57,4.8,19,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/bc/bc/8c/e53b7108c598e27ec38bbfca116b77d8.jpg,280,280,[],False,,False,1487,,,False,False,,,[],,,202878762,,,False,"{'text': 'Đã bán 54', 'value': 54}",https://salt.tikicdn.com/ts/video/c4/5f/9d/39535d28d4231188e79d09d947b6236a.mp4,,580000,True,"[{'impression_id': 'thanos-product-nmUgcGWORxmUV6cS', 'metadata': {'price': 249000, 'rating_average': 4.8, 'reviews_count': 19, 'seller_product_id': 202878762}, 'checksum': ''}, {'impression_id': '7d1f1a63-49e0-40a0-a773-42e6976ef419', 'metadata': {'product_id': 1487, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/976/4560/49600,0,105
4,178745559,5017201591380,Túi xách nữ mini đeo vai YUUMY YTX25,tui-xach-nu-mini-deo-vai-yuumy-ytx25-p178745559,tui-xach-nu-mini-deo-vai-yuumy-ytx25-p178745559.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.178745565&itm_medium=CPC&itm_source=tiki-reco&spid=178745565,,,,YUUMY,,390000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 10 ASA (2k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/2b/d9/3d/77e26b273d909e48264804c1aa938260.jpg,280,280,[],False,,False,1487,,,False,False,,,[],,,178745565,,,False,"{'text': 'Đã bán 3', 'value': 3}",https://salt.tikicdn.com/ts/video/47/70/a5/d8123ab8b8fa19a7399546026ac961ba.mp4,,390000,True,"[{'impression_id': 'thanos-product-WTQThiTJdVgJfTEa', 'metadata': {'price': 390000, 'rating_average': 5, 'reviews_count': 1, 'seller_product_id': 178745565}, 'checksum': ''}, {'impression_id': '1b168cf8-f848-4d2a-b1b0-87542048a409', 'metadata': {'product_id': 1487, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/976/4560/49600,0,72737
5,208134613,2765631900096,"Túi xách nữ hàng cao cấp VICTORY cỡ lớn big size thời trang công sở đi làm, đi học đựng vừa A4 laptop đẹp SKU: 698",tui-xach-nu-hang-cao-cap-victory-co-lon-big-size-thoi-trang-cong-so-di-lam-di-hoc-dung-vua-a4-laptop-dep-sku-698-p208134613,tui-xach-nu-hang-cao-cap-victory-co-lon-big-size-thoi-trang-cong-so-di-lam-di-hoc-dung-vua-a4-laptop-dep-sku-698-p208134613.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.208134629&itm_medium=CPC&itm_source=tiki-reco&spid=208134629,,,,OEM,,438000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 11 ASA (2k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/3e/c0/be/65bd0b741de6890d8e05adc04768346a.jpg,280,280,[],False,,False,1487,,,False,False,,,[],,,208134629,,,False,"{'text': 'Đã bán 1', 'value': 1}",,,438000,True,"[{'impression_id': 'thanos-product-no8bIyH3KhYojMua', 'metadata': {'price': 438000, 'rating_average': 5, 'reviews_count': 1, 'seller_product_id': 208134629}, 'checksum': ''}, {'impression_id': '60544b0f-8f64-4ebc-8242-02fc34b57643', 'metadata': {'product_id': 1487, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/976/4560/49600,0,316965
6,151923565,8831612985366,"Túi xách,Túi đeo vai công sở đựng vừa A4 dành cho nữ",tui-xach-tui-deo-vai-cong-so-dung-vua-a4-danh-cho-nu-p151923565,tui-xach-tui-deo-vai-cong-so-dung-vua-a4-danh-cho-nu-p151923565.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.167756525&itm_medium=CPC&itm_source=tiki-reco&spid=167756525,,,,OEM,,125000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (677 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,3.3,3,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/f9/cc/1c/997145cd790dcef3459320198b80c097.jpg,280,280,[],False,,False,1487,,,False,False,,,[],,,167756525,,,False,"{'text': 'Đã bán 13', 'value': 13}",,,125000,True,"[{'impression_id': 'thanos-product-laItTKQ7IJ49UneX', 'metadata': {'price': 125000, 'rating_average': 3.3, 'reviews_count': 3, 'seller_product_id': 167756525}, 'checksum': ''}, {'impression_id': '3be36295-e15b-4c55-b0a5-24047e7f2f84', 'metadata': {'product_id': 1487, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/976/4560/49600,0,107264
7,185041111,3507282102204,Túi xách nữ công sở da đeo vai size lớn đi làm đi học giá rẻ thời trang hàn quốc cao cấp TX03,tui-xach-nu-cong-so-da-deo-vai-size-lon-di-lam-di-hoc-gia-re-thoi-trang-han-quoc-cao-cap-tx03-p185041111,tui-xach-nu-cong-so-da-deo-vai-size-lon-di-lam-di-hoc-gia-re-thoi-trang-han-quoc-cao-cap-tx03-p185041111.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.200760989&itm_medium=CPC&itm_source=tiki-reco&spid=200760989,,,,OEM,,199000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, ngày 22/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 5 ASA (1k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/50/82/0d/4d6b5dce7f01be00b21111e22a3b3218.jpg,280,280,[],False,,False,1487,,,False,False,,,[],,,200760989,,,False,"{'text': 'Đã bán 2', 'value': 2}",,,199000,True,"[{'impression_id': 'thanos-product-LK5LyC9yUU4UuTl4', 'metadata': {'price': 199000, 'rating_average': 0, 'reviews_count': 0, 'seller_product_id': 200760989}, 'checksum': ''}, {'impression_id': '0fd6e15c-0b1d-4006-851a-153b611134eb', 'metadata': {'product_id': 1487, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/976/4560/49600,0,202842
8,170299382,9399441025195,Túi vải đập nước đá,tui-vai-dung-dap-da-mau-xanh-kt-22x34cm-p170299382,tui-vai-dung-dap-da-mau-xanh-kt-22x34cm-p170299382.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.170299393&itm_medium=CPC&itm_source=tiki-reco&spid=170299393,,,,OEM,,25000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}]",0,0,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/30/25/ec/d961d48ca6faf1d4a3b9d92ae53e0240.jpg,280,280,[],False,,False,1487,,,False,False,,,[],,,170299393,,,False,"{'text': 'Đã bán 2', 'value': 2}",,,25000,True,"[{'impression_id': 'thanos-product-ve3HzgnqDTU4SMgL', 'metadata': {'price': 25000, 'rating_average': 5, 'reviews_count': 1, 'seller_product_id': 170299393}, 'checksum': ''}, {'impression_id': '60d30f70-7eb1-436d-af99-76c1dd3dd05d', 'metadata': {'product_id': 1487, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/976/4560/49600,0,272884
9,148967272,4246379743684,Túi cói Merci sang chảnh,tui-coi-merci-sang-chanh-p148967272,tui-coi-merci-sang-chanh-p148967272.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.181560433&itm_medium=CPC&itm_source=tiki-reco&spid=181560433,,,,OEM,,39878,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}]",0,0,4.0,3,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ed/13/44/f60bbd365fc3f6f9c943954f4160e093.jpg,280,280,[],False,,False,1487,,,False,False,,,[],,,181560433,,,False,"{'text': 'Đã bán 7', 'value': 7}",,,39878,True,"[{'impression_id': 'thanos-product-uQivIp82T3VvHCEk', 'metadata': {'price': 39878, 'rating_average': 4, 'reviews_count': 3, 'seller_product_id': 181560433}, 'checksum': ''}, {'impression_id': '7bb34a1e-8d47-4211-9b7b-bae220f886ef', 'metadata': {'product_id': 1487, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/976/4558/49598,0,254353
