,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,video_url,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id
0,95311757,2443406206869,Lưu Thông Máu Tốt Hóa Giải Bách Bệnh,luu-thong-mau-tot-hoa-giai-bach-benh-p95311757,luu-thong-mau-tot-hoa-giai-bach-benh-p95311757.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.95311758&itm_medium=CPC&itm_source=tiki-reco&spid=95311758,,,,,,63000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (341 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",36000,36,4.8,152,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/18/40/fe/26710076611357c1b02acbd8ba6fe7d4.jpg,280,280,[],False,,False,250,,,False,False,,,[],,,95311758,,,False,"{'text': 'Đã bán 1782', 'value': 1782}",,,99000,True,"[{'impression_id': 'thanos-product-j992mmkYqAFdu20L', 'metadata': {'price': 63000, 'rating_average': 4.8, 'reviews_count': 152, 'seller_product_id': 95311758}, 'checksum': ''}, {'impression_id': 'a7e1186d-3e85-4723-9492-4a2e00be0659', 'metadata': {'product_id': 250, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/8322/316/885,0,1
1,160759005,3409922518816,Cơ Thể Tự Chữa Lành - Thanh Lọc Để Phục Hồi,co-the-tu-chua-lanh-thanh-loc-de-phuc-hoi-p160759005,co-the-tu-chua-lanh-thanh-loc-de-phuc-hoi-p160759005.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.160759006&itm_medium=CPC&itm_source=tiki-reco&spid=160759006,,,,,,207000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 5 ASA (1k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",88000,30,5.0,291,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/22/67/43/c2b5da12ba401865663ab1577995f98a.jpg,280,280,[],False,,False,250,,,False,False,,,[],,,160759006,,,False,"{'text': 'Đã bán 2095', 'value': 2095}",,,295000,True,"[{'impression_id': 'thanos-product-wVfFwVWRhQv6bZmo', 'metadata': {'price': 207000, 'rating_average': 5, 'reviews_count': 291, 'seller_product_id': 160759006}, 'checksum': ''}, {'impression_id': '60f1c107-5d76-468a-9171-a169bafe63b7', 'metadata': {'product_id': 250, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/8322/316/885,0,1
2,168559521,6364139903211,Sự Trung Thực Của Xác Chết – Ghi Chép Của Một Nhà Pháp Y,su-trung-thuc-cua-xac-chet-ghi-chep-cua-mot-nha-phap-y-p168559521,su-trung-thuc-cua-xac-chet-ghi-chep-cua-mot-nha-phap-y-p168559521.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.168559523&itm_medium=CPC&itm_source=tiki-reco&spid=168559523,,,,,,68400,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 2 ASA (371 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",30600,31,5.0,254,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/f4/bc/14/c202a8b6953aebc2a4f38696aea7241e.jpg,280,280,[],False,,False,250,,,False,False,,,[],,,168559523,,,False,"{'text': 'Đã bán 1539', 'value': 1539}",,,99000,True,"[{'impression_id': 'thanos-product-jVVjlj5OOis4uc2p', 'metadata': {'price': 68400, 'rating_average': 5, 'reviews_count': 254, 'seller_product_id': 168559523}, 'checksum': ''}, {'impression_id': 'c16998d1-d99d-4e76-8aa1-61de1a7a03bb', 'metadata': {'product_id': 250, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/8322/316/885,0,1
3,66090079,7680984974301,Cơ Thể Tự Chữa Lành: Giải Cứu Gan,co-the-tu-chua-lanh-giai-cuu-gan-p66090079,co-the-tu-chua-lanh-giai-cuu-gan-p66090079.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.66090081&itm_medium=CPC&itm_source=tiki-reco&spid=66090081,,,,,,173000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 4 ASA (937 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",77000,31,5.0,860,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/82/94/9d/45b1cef918c75c92ffeb8f4d911df2f4.jpg,280,280,[],False,,False,250,,,False,False,,,[],,,66090081,,,False,"{'text': 'Đã bán 5000+', 'value': 5091}",,,250000,True,"[{'impression_id': 'thanos-product-y1fK8T0YyyykWFP1', 'metadata': {'price': 173000, 'rating_average': 5, 'reviews_count': 860, 'seller_product_id': 66090081}, 'checksum': ''}, {'impression_id': '631b8153-9480-405c-8597-4adc7061b5ff', 'metadata': {'product_id': 250, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/8322/316/885,0,1
4,178483637,1618805406805,Nước Ép Trị Liệu Và Chế Độ Ăn Theo Phương Pháp Cơ Thể Tự Chữa Lành,nuoc-ep-tri-lieu-va-che-do-an-theo-phuong-phap-co-the-tu-chua-lanh-p178483637,nuoc-ep-tri-lieu-va-che-do-an-theo-phuong-phap-co-the-tu-chua-lanh-p178483637.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.178483640&itm_medium=CPC&itm_source=tiki-reco&spid=178483640,,,,,,137400,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (744 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",61600,31,5.0,265,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ce/03/a6/03cea0cb853c06293f9e178896b50f6c.jpg,280,280,[],False,,False,250,,,False,False,,,[],,,178483640,,,False,"{'text': 'Đã bán 2580', 'value': 2580}",,,199000,True,"[{'impression_id': 'thanos-product-LEA9XDCAVoV6HVXI', 'metadata': {'price': 137400, 'rating_average': 5, 'reviews_count': 265, 'seller_product_id': 178483640}, 'checksum': ''}, {'impression_id': '61b6284f-6eaa-464d-8e09-4f5f52549ecd', 'metadata': {'product_id': 250, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/8322/316/885,0,1
5,55605170,3599022080666,Cơ Thể Tự Chữa Lành: Thực Phẩm Thay Đổi Cuộc Sống,co-the-tu-chua-lanh-thuc-pham-thay-doi-cuoc-song-p55605170,co-the-tu-chua-lanh-thuc-pham-thay-doi-cuoc-song-p55605170.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.55605171&itm_medium=CPC&itm_source=tiki-reco&spid=55605171,,,,,,130000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (704 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",55000,30,4.8,1029,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/4b/ea/99/958ae923471fac9f54440498b2d1fb1b.jpg,280,280,[],False,,False,250,,,False,False,,,[],,,55605171,,,False,"{'text': 'Đã bán 5000+', 'value': 6927}",,,185000,True,"[{'impression_id': 'thanos-product-AZRsUledwRxU7yge', 'metadata': {'price': 130000, 'rating_average': 4.8, 'reviews_count': 1029, 'seller_product_id': 55605171}, 'checksum': ''}, {'impression_id': '777c41f7-413b-4700-8d5a-2b456eff698b', 'metadata': {'product_id': 250, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/8322/316/885,0,1
6,80657321,8031476392638,Cơ Thể Tự Chữa Lành: Phục Hồi Tuyến Giáp,co-the-tu-chua-lanh-phuc-hoi-tuyen-giap-p80657321,co-the-tu-chua-lanh-phuc-hoi-tuyen-giap-p80657321.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.80657322&itm_medium=CPC&itm_source=tiki-reco&spid=80657322,,,,,,127000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (688 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",53000,29,5.0,540,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/a7/d7/48/750d042da9a173418d6f199911c04dad.jpg,280,280,[],False,,False,250,,,False,False,,,[],,,80657322,,,False,"{'text': 'Đã bán 3588', 'value': 3588}",,,180000,True,"[{'impression_id': 'thanos-product-DXz8QIdpBtp4Bqss', 'metadata': {'price': 127000, 'rating_average': 5, 'reviews_count': 540, 'seller_product_id': 80657322}, 'checksum': ''}, {'impression_id': '2bca4273-ce19-42fb-8ac4-48cdbb2a2f97', 'metadata': {'product_id': 250, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/8322/316/885,0,1
7,100947276,7947864154726,"Ung Thư - Sự Thật, Hư Cấu, Gian Lận Và Những Phương Pháp Chữa Bệnh Không Độc Hại (Tái Bản)",ung-thu-su-that-hu-cau-gian-lan-va-nhung-phuong-phap-chua-benh-khong-doc-hai-tai-ban-p100947276,ung-thu-su-that-hu-cau-gian-lan-va-nhung-phuong-phap-chua-benh-khong-doc-hai-tai-ban-p100947276.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.100947277&itm_medium=CPC&itm_source=tiki-reco&spid=100947277,,,,,,102000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (553 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",67000,40,5.0,351,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/4e/d3/15/e6d89afbfa2fd56335d2f3a21ade7b9a.jpg,280,280,[],False,,False,250,,,False,False,,,[],,,100947277,,,False,"{'text': 'Đã bán 2703', 'value': 2703}",,,169000,True,"[{'impression_id': 'thanos-product-TdwBpE72I3UOlp4U', 'metadata': {'price': 102000, 'rating_average': 5, 'reviews_count': 351, 'seller_product_id': 100947277}, 'checksum': ''}, {'impression_id': '7b6ead7a-da1b-405d-9a19-915474a4199b', 'metadata': {'product_id': 250, 'service_nam8,71898415,2016969421037,Cơ Thể Ta Đã Hai Triệu Năm - Giải Mã Các Căn Bệnh Thời Hiện Đại,co-the-ta-da-hai-trieu-nam-giai-ma-cac-can-benh-thoi-hien-dai-p71898415,co-the-ta-da-hai-trieu-nam-giai-ma-cac-can-benh-thoi-hien-dai-p71898415.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.71898416&itm_medium=CPC&itm_source=tiki-reco&spid=71898416,,,,,,54500,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 1 ASA (295 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",24500,31,4.8,353,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/18/4b/0d/a58be739890f5d5db528dda4e6333a7f.jpg,280,280,[],False,,False,250,,,False,False,,,[],,,71898416,,,False,"{'text': 'Đã bán 2302', 'value': 2302}",,,79000,True,"[{'impression_id': 'thanos-product-edKWX1M0gnIzaGS2', 'metadata': {'price': 54500, 'rating_average': 4.8, 'reviews_count': 353, 'seller_product_id': 71898416}, 'checksum': ''}, {'impression_id': '53cbbfe7-180b-4300-9eb9-eb7a4083d813', 'metadata': {'product_id': 250, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/8322/316/885,0,1
9,201296288,9208969999227,Ayurveda Phương Pháp Y Thuật Cổ Truyền Ấn Độ Hơn 5000 Tuổi,ayurveda-phuong-phap-y-thuat-co-truyen-an-do-hon-5000-tuoi-p201296288,ayurveda-phuong-phap-y-thuat-co-truyen-an-do-hon-5000-tuoi-p201296288.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.201296289&itm_medium=CPC&itm_source=tiki-reco&spid=201296289,,,,,,158100,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 4 ASA (856 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",70900,31,5.0,23,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/98/fe/ae/fe15d0ac49ad082661695fadd3857cd3.jpg,280,280,[],False,,False,250,,,False,False,,,[],,,201296289,,,False,"{'text': 'Đã bán 345', 'value': 345}",,,229000,True,"[{'impression_id': 'thanos-product-r3dWlGHru4HKoDu0', 'metadata': {'price': 158100, 'rating_average': 5, 'reviews_count': 23, 'seller_product_id': 201296289}, 'checksum': ''}, {'impression_id': '0694c598-0cbd-4ede-86e8-92c2110dc860', 'metadata': {'product_id': 250, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/8322/316/885,0,1
10,74285820,4058487694928,Cơ Thể Tự Chữa Lành: Nước Ép Cần Tây,co-the-tu-chua-lanh-nuoc-ep-can-tay-p74285820,co-the-tu-chua-lanh-nuoc-ep-can-tay-p74285820.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.74285821&itm_medium=CPC&itm_source=tiki-reco&spid=74285821,,,,,,105000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (569 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",43000,29,5.0,566,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/47/a7/ab/1eb2031f57ad731ada7c024adc103716.jpg,280,280,[],False,,False,250,,,False,False,,,[],,,74285821,,,False,"{'text': 'Đã bán 3634', 'value': 3634}",,,148000,True,"[{'impression_id': 'thanos-product-PWwCZORTJHq6AHwr', 'metadata': {'price': 105000, 'rating_average': 5, 'reviews_count': 566, 'seller_product_id': 74285821}, 'checksum': ''}, {'impression_id': '499556ff-ff9a-4578-85d4-742a70782239', 'metadata': {'product_id': 250, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/8322/316/885,0,1
